Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Access Type,Source,EID
"Yan, Y., Somer, E., Grau, V.","57206183982;7003846165;55397587300;","Classification of amyloid PET images using novel features for early diagnosis of Alzheimer's disease and mild cognitive impairment conversion",2019,"Nuclear Medicine Communications","40","3",,"242","248",,,"10.1097/MNM.0000000000000953","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061592908&doi=10.1097%2fMNM.0000000000000953&partnerID=40&md5=93dfa5e74bc8e9ac8ed3bd24bdd444c3",Article,"Final",,Scopus,2-s2.0-85061592908
"Chiu, P.-Y., Tang, H., Wei, C.-Y., Zhang, C., Hung, G.-U., Zhou, W.","7103182590;57194548656;41862617200;7405496346;57192368259;55308209500;","NMD-12: A new machine-learning derived screening instrument to detect mild cognitive impairment and dementia",2019,"PLoS ONE","14","3", e0213430,"","",,,"10.1371/journal.pone.0213430","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062605871&doi=10.1371%2fjournal.pone.0213430&partnerID=40&md5=4e7a76b385b3c9a2494e33c51fbbb17f",Article,"Final",Open Access,Scopus,2-s2.0-85062605871
"Collazos-Huertas, D., Cárdenas-Peña, D., Castellanos-Dominguez, G.","56051263600;55347702600;57202660018;","Instance-Based Representation Using Multiple Kernel Learning for Predicting Conversion to Alzheimer Disease",2019,"International Journal of Neural Systems","29","2", 1850042,"","",,,"10.1142/S0129065718500429","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056516328&doi=10.1142%2fS0129065718500429&partnerID=40&md5=7421111b1cdb226d4fc86db65970c7ab",Conference Paper,"Final",,Scopus,2-s2.0-85056516328
"De La Fuente Garcia, S., Ritchie, C.W., Luz, S.","57208031356;7006045864;25921550000;","Protocol for a conversation-based analysis study: PREVENT-ED investigates dialogue features that may help predict dementia onset in later life",2019,"BMJ Open","9","3", 026254,"","",,,"10.1136/bmjopen-2018-026254","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063629126&doi=10.1136%2fbmjopen-2018-026254&partnerID=40&md5=c5827dcbfa131d78f97b4478156c76e8",Article,"Final",Open Access,Scopus,2-s2.0-85063629126
"Pillutla, V.S., Giabbanelli, P.J.","57197826292;36991939300;","Iterative generation of insight from text collections through mutually reinforcing visualizations and fuzzy cognitive maps",2019,"Applied Soft Computing Journal","76",,,"459","472",,,"10.1016/j.asoc.2018.12.020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059518844&doi=10.1016%2fj.asoc.2018.12.020&partnerID=40&md5=3efa5f81227cc72ffa018a23fd3deedd",Article,"Final",,Scopus,2-s2.0-85059518844
"Chockanathan, U., DSouza, A.M., Abidin, A.Z., Schifitto, G., Wismüller, A.","56364113000;57073514000;56800380800;6603805711;6603949802;","Automated diagnosis of HIV-associated neurocognitive disorders using large-scale Granger causality analysis of resting-state functional MRI",2019,"Computers in Biology and Medicine","106",,,"24","30",,,"10.1016/j.compbiomed.2019.01.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060172524&doi=10.1016%2fj.compbiomed.2019.01.006&partnerID=40&md5=a9db1b3d2a24489723f49309c7341904",Article,"Final",,Scopus,2-s2.0-85060172524
"Mahyoub, M., Randles, M., Baker, T., Yang, P.","57207456550;55885282700;34267505000;57207937968;","Comparison analysis of machine learning algorithms to rank Alzheimer's disease risk factors by importance",2019,"Proceedings - International Conference on Developments in eSystems Engineering, DeSE","2018-September",, 8648588,"1","11",,,"10.1109/DeSE.2018.00008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063138284&doi=10.1109%2fDeSE.2018.00008&partnerID=40&md5=c743961626ca557974d4a7c5206960ef",Conference Paper,"Final",,Scopus,2-s2.0-85063138284
"Gwak, M., Woo, E., Sarrafzadeh, M.","57207855227;7103371082;35596897200;","The role of accelerometer and gyroscope sensors in identification of mild cognitive impairment",2019,"2018 IEEE Global Conference on Signal and Information Processing, GlobalSIP 2018 - Proceedings",,, 8646622,"434","438",,,"10.1109/GlobalSIP.2018.8646622","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063109453&doi=10.1109%2fGlobalSIP.2018.8646622&partnerID=40&md5=45361eaefc140eb527ddf09ef055ea35",Conference Paper,"Final",,Scopus,2-s2.0-85063109453
"Kim, H.J., Park, J.-Y., Seo, S.W., Jung, Y.H., Kim, Y., Jang, H., Kim, S.T., Seong, J.-K., Na, D.L.","56982299900;57193568044;16305669100;57192553880;57195337327;56651581700;55718820800;7004962794;7103210298;","Cortical atrophy pattern–based subtyping predicts prognosis of amnestic MCI: an individual-level analysis",2019,"Neurobiology of Aging","74",,,"38","45",,,"10.1016/j.neurobiolaging.2018.10.010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056167379&doi=10.1016%2fj.neurobiolaging.2018.10.010&partnerID=40&md5=6ddc9f924957b2be9362d565a599ce1a",Article,"Final",,Scopus,2-s2.0-85056167379
"Nguyen, D.T., Ryu, S., Qureshi, M.N.I., Choi, M., Lee, K.H., Lee, B.","57198994857;57206785403;57190840874;57207402765;57196250506;16230607300;","Hybrid multivariate pattern analysis combined with extreme learning machine for Alzheimer’s dementia diagnosis using multi-measure rs-fMRI spatial patterns",2019,"PLoS ONE","14","2", e0212582,"","",,,"10.1371/journal.pone.0212582","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061957829&doi=10.1371%2fjournal.pone.0212582&partnerID=40&md5=5a84bcdf4c480f33893fcfe8f9d4a6b5",Article,"Final",Open Access,Scopus,2-s2.0-85061957829
"Lisowska, A., Rekik, I.","57195634321;55546384900;","Joint Pairing and Structured Mapping of Convolutional Brain Morphological Multiplexes for Early Dementia Diagnosis",2019,"Brain Connectivity","9","1",,"22","36",,3,"10.1089/brain.2018.0578","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061964405&doi=10.1089%2fbrain.2018.0578&partnerID=40&md5=3160e2d842aef821166dca67aa6534d7",Article,"Final",Open Access,Scopus,2-s2.0-85061964405
"Wen, D., Jia, P., Hsu, S.-H., Zhou, Y., Lan, X., Cui, D., Li, G., Yin, S., Wang, L.","26322164100;57190810465;56647326300;55718596200;57201469844;35338684300;57201473835;8622487000;57070639100;","Estimating coupling strength between multivariate neural series with multivariate permutation conditional mutual information",2019,"Neural Networks","110",,,"159","169",,,"10.1016/j.neunet.2018.11.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058386522&doi=10.1016%2fj.neunet.2018.11.006&partnerID=40&md5=a60c76c88ba504bf57d226ee9ed8097f",Article,"Final",,Scopus,2-s2.0-85058386522
"Shi, S., Nathoo, F.","57207763338;20735063600;","Feature Learning and Classification in Neuroimaging: Predicting Cognitive Impairment from Magnetic Resonance Imaging",2019,"4th International Conference on Big Data and Information Analytics: Theories, Algorithms and Applications in Data Science, BigDIA 2018",,, 8632797,"","",,,"10.1109/BigDIA.2018.8632797","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062830311&doi=10.1109%2fBigDIA.2018.8632797&partnerID=40&md5=5abbc34dabf26cdcc48f5d6269262fc0",Conference Paper,"Final",,Scopus,2-s2.0-85062830311
