,Filename,TTR,WordCount,UniqueWords,MLU,Fillers,NSNouns,LIVerbs,$,'',",",.,:,CC,CD,DT,EX,FW,IN,JJ,JJR,JJS,MD,NN,NNP,NNPS,NNS,PRP,PRP$,RB,RP,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WRB,``,PDT,POS,RBS,WP$,RBR
10,Trump - Speech4 - Edited.txt,0.32367632367632365,1001.0,324.0,13.841463414634147,5.0,7.0,38.0,0.0,0.0,52.0,82.0,2.0,43.0,11.0,87.0,4.0,0.0,87.0,67.0,6.0,2.0,24.0,86.0,39.0,5.0,24.0,124.0,3.0,85.0,4.0,46.0,0.0,72.0,15.0,25.0,23.0,76.0,27.0,8.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
11,Trump  - Speech28 - Edited.txt,0.1871803614047051,2933.0,549.0,11.632302405498281,16.0,12.0,137.0,4.0,0.0,159.0,291.0,44.0,108.0,41.0,237.0,3.0,0.0,241.0,152.0,2.0,5.0,78.0,229.0,115.0,5.0,94.0,427.0,21.0,225.0,20.0,94.0,6.0,190.0,77.0,98.0,45.0,229.0,99.0,8.0,17.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0
12,Trump - Speech12 - Edited.txt,0.34522560335781743,953.0,329.0,13.107142857142858,1.0,4.0,36.0,0.0,1.0,63.0,84.0,2.0,40.0,11.0,117.0,0.0,0.0,99.0,62.0,1.0,3.0,20.0,112.0,43.0,0.0,28.0,99.0,6.0,82.0,1.0,15.0,3.0,39.0,36.0,18.0,17.0,48.0,29.0,12.0,6.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0
13,Trump - Speech26 - Edited.txt,0.2297979797979798,2376.0,546.0,15.162011173184357,10.0,15.0,100.0,15.0,0.0,159.0,177.0,40.0,87.0,36.0,218.0,7.0,0.0,210.0,131.0,14.0,5.0,59.0,212.0,107.0,9.0,85.0,324.0,9.0,140.0,10.0,70.0,4.0,123.0,75.0,76.0,45.0,150.0,70.0,16.0,14.0,9.0,0.0,0.0,5.0,2.0,0.0,1.0
14,Trump - Speech27 - Edited.txt,0.25759345794392524,1712.0,441.0,11.951219512195122,10.0,6.0,70.0,4.0,2.0,81.0,163.0,19.0,81.0,16.0,159.0,7.0,0.0,151.0,91.0,8.0,4.0,40.0,162.0,72.0,3.0,61.0,216.0,13.0,141.0,7.0,45.0,6.0,93.0,33.0,45.0,26.0,108.0,66.0,11.0,15.0,6.0,1.0,0.0,2.0,0.0,0.0,2.0
15,Trump - Speech25 - Edited.txt,0.25740181268882173,3310.0,852.0,14.306818181818182,9.0,7.0,136.0,7.0,13.0,200.0,264.0,5.0,140.0,34.0,273.0,4.0,0.0,355.0,212.0,4.0,7.0,87.0,322.0,236.0,15.0,108.0,365.0,48.0,226.0,14.0,97.0,5.0,177.0,75.0,69.0,80.0,175.0,88.0,14.0,25.0,9.0,13.0,0.0,10.0,0.0,0.0,1.0
16,Trump - Speech16 - Edited.txt,0.31836091410559497,1269.0,404.0,13.895238095238096,9.0,2.0,40.0,0.0,0.0,84.0,105.0,2.0,56.0,12.0,105.0,0.0,0.0,132.0,89.0,2.0,1.0,27.0,114.0,82.0,2.0,42.0,145.0,25.0,103.0,4.0,26.0,2.0,56.0,36.0,36.0,42.0,77.0,38.0,6.0,2.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0
17,Trump - Speech2 - Edited.txt,0.31908621960206335,1357.0,433.0,15.673469387755102,10.0,1.0,62.0,0.0,1.0,79.0,98.0,3.0,62.0,1.0,106.0,1.0,0.0,134.0,93.0,4.0,3.0,48.0,146.0,89.0,5.0,42.0,139.0,25.0,115.0,2.0,44.0,1.0,86.0,27.0,43.0,17.0,72.0,24.0,9.0,8.0,6.0,1.0,0.0,1.0,0.0,0.0,1.0
18,Trump - Speech20 - Edited.txt,0.34006376195536664,941.0,320.0,15.897058823529411,2.0,1.0,50.0,0.0,0.0,70.0,68.0,3.0,37.0,5.0,92.0,4.0,0.0,92.0,42.0,2.0,7.0,26.0,93.0,50.0,1.0,23.0,121.0,7.0,69.0,6.0,25.0,2.0,59.0,17.0,24.0,21.0,64.0,30.0,8.0,9.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0
19,Trump - Speech17 - Edited.txt,0.20796676441837733,4092.0,851.0,13.592592592592593,25.0,16.0,237.0,2.0,0.0,325.0,351.0,8.0,145.0,57.0,351.0,5.0,0.0,382.0,222.0,8.0,9.0,68.0,416.0,163.0,15.0,151.0,525.0,29.0,359.0,12.0,138.0,15.0,216.0,78.0,132.0,69.0,324.0,127.0,11.0,25.0,21.0,0.0,0.0,9.0,0.0,0.0,3.0
20,Trump - Speech11 - Edited.txt,0.35664335664335667,1001.0,357.0,11.037383177570094,3.0,2.0,47.0,0.0,0.0,72.0,107.0,5.0,45.0,7.0,93.0,4.0,0.0,74.0,54.0,2.0,0.0,21.0,98.0,54.0,5.0,28.0,120.0,7.0,103.0,1.0,31.0,7.0,63.0,30.0,28.0,18.0,66.0,18.0,3.0,12.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0
21,Trump - Speech8 - Edited.txt,0.31852551984877125,1058.0,337.0,12.74736842105263,4.0,4.0,54.0,0.0,0.0,57.0,95.0,5.0,39.0,3.0,82.0,5.0,0.0,105.0,59.0,2.0,1.0,42.0,90.0,55.0,0.0,25.0,139.0,2.0,92.0,4.0,30.0,0.0,79.0,34.0,31.0,18.0,54.0,42.0,6.0,6.0,3.0,0.0,1.0,2.0,1.0,0.0,2.0
22,Trump - Speech10 - Edited.txt,0.31628242074927954,1388.0,439.0,13.403361344537815,16.0,6.0,64.0,0.0,1.0,86.0,119.0,6.0,51.0,0.0,122.0,9.0,0.0,132.0,95.0,1.0,3.0,20.0,140.0,70.0,3.0,51.0,152.0,11.0,112.0,4.0,49.0,1.0,67.0,35.0,39.0,20.0,99.0,55.0,13.0,16.0,11.0,1.0,0.0,0.0,0.0,0.0,1.0
23,Trump - Speech14 - Edited.txt,0.2749326145552561,2226.0,612.0,14.032608695652174,9.0,8.0,88.0,0.0,4.0,169.0,184.0,4.0,86.0,34.0,203.0,1.0,0.0,238.0,145.0,5.0,7.0,58.0,215.0,155.0,5.0,74.0,249.0,18.0,178.0,3.0,47.0,7.0,99.0,62.0,45.0,49.0,123.0,75.0,10.0,16.0,9.0,4.0,0.0,1.0,0.0,0.0,0.0
24,Trump - Speech29 - Edited.txt,0.2825040128410915,2492.0,704.0,13.236966824644549,7.0,9.0,88.0,0.0,0.0,89.0,211.0,1.0,82.0,28.0,240.0,10.0,0.0,258.0,156.0,5.0,5.0,45.0,291.0,146.0,16.0,96.0,257.0,34.0,182.0,7.0,79.0,1.0,121.0,96.0,48.0,44.0,135.0,64.0,7.0,12.0,19.0,0.0,2.0,0.0,4.0,0.0,2.0
25,Trump - Speech24 - Edited.txt,0.23968835930339139,2182.0,523.0,13.765027322404372,18.0,3.0,92.0,8.0,6.0,152.0,183.0,22.0,108.0,30.0,174.0,7.0,0.0,197.0,116.0,9.0,6.0,35.0,186.0,97.0,6.0,79.0,288.0,25.0,208.0,10.0,49.0,3.0,100.0,28.0,63.0,48.0,176.0,70.0,5.0,6.0,9.0,6.0,0.0,0.0,0.0,0.0,4.0
26,Trump - Speech7 - Edited.txt,0.3479212253829322,914.0,318.0,13.947368421052632,2.0,4.0,46.0,0.0,0.0,70.0,76.0,0.0,45.0,10.0,79.0,3.0,0.0,75.0,60.0,4.0,2.0,25.0,82.0,45.0,2.0,28.0,125.0,6.0,61.0,3.0,21.0,1.0,52.0,30.0,26.0,23.0,59.0,25.0,6.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Trump - Speech19 - Edited.txt,0.33250414593698174,1206.0,401.0,18.472972972972972,1.0,5.0,49.0,2.0,1.0,87.0,74.0,3.0,49.0,10.0,110.0,0.0,0.0,131.0,83.0,4.0,5.0,32.0,114.0,40.0,8.0,49.0,140.0,13.0,103.0,6.0,23.0,1.0,61.0,22.0,21.0,31.0,68.0,49.0,10.0,6.0,6.0,1.0,0.0,2.0,0.0,0.0,2.0
28,Trump - Speech22 - Edited.txt,0.32002851033499646,1403.0,449.0,13.235772357723578,2.0,5.0,40.0,0.0,1.0,97.0,123.0,8.0,64.0,7.0,154.0,6.0,0.0,143.0,77.0,6.0,2.0,26.0,166.0,69.0,11.0,40.0,151.0,19.0,101.0,9.0,30.0,1.0,60.0,49.0,33.0,22.0,79.0,45.0,6.0,7.0,9.0,1.0,2.0,1.0,0.0,0.0,3.0
29,Trump - Speech5 - Edited.txt,0.15165165165165165,8658.0,1313.0,12.52216748768473,45.0,48.0,409.0,0.0,15.0,687.0,812.0,22.0,321.0,46.0,765.0,10.0,1.0,736.0,523.0,27.0,18.0,146.0,818.0,422.0,9.0,241.0,1203.0,62.0,729.0,46.0,224.0,36.0,470.0,410.0,204.0,148.0,546.0,265.0,52.0,56.0,52.0,13.0,7.0,15.0,3.0,0.0,8.0
