"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication_Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,"Reference Count","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Effective Use of Data Science Toward Early Prediction of Alzheimer's Disease","M. Mahyoub; M. Randles; T. Baker; P. Yang","NA; NA; NA; NA","2018 IEEE 20th International Conference on High Performance Computing and Communications; IEEE 16th International Conference on Smart City; IEEE 4th International Conference on Data Science and Systems (HPCC/SmartCity/DSS)","","2018","","","1455","1461","This paper investigates data for 9 common Alzheimer's Disease risk factors, from three different categories; Medical History, Lifestyle, and Demography. The dataset used consists of 185 normal control, 177 early mild cognitive impairment, 161 late mild cognitive impairment and 127 Alzheimer's Disease subjects. The initial experiment had training results of 0.92 sensitivity, 0.935 specificity and 0.771 precision. However, during the test stage the final output was 0.741 sensitivity, 0.515 specificity and 0.286 precision. The results of this experiment did not give a clear classification or definite predictive value. Involving more variables and underlying data could provide a better outcome. This paper is a part of a long-term study that focuses on the classification and ranking the importance of Alzheimer's Disease risk factors using Machine Learning predictive models and classifications techniques.","","978-1-5386-6614-2978-1-5386-6615","10.1109/HPCC/SmartCity/DSS.2018.00240","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8622978","Alzheimer's Disease;Machine Learning;Classification;Dementia;ADNI","Feature extraction;Machine learning;Matlab;Principal component analysis;History;Alzheimer's disease","cognition;demography;diseases;learning (artificial intelligence);medical diagnostic computing;patient diagnosis;pattern classification","classification techniques;normal control;early mild cognitive impairment;late mild cognitive impairment;Alzheimer's Disease subjects;common Alzheimer's Disease risk factors;machine learning predictive models;demography;predictive models;test stage;training results;initial experiment;Medical History;early prediction;data science","","","12","","","","","IEEE","IEEE Conferences"
"Combining Multiple Network Features for Mild Cognitive Impairment Classification","L. Wang; F. Fei; B. Jie; D. Zhang","NA; NA; NA; NA","2014 IEEE International Conference on Data Mining Workshop","","2014","","","996","1003","Connectivity-network-based techniques have been recently developed for the diagnosis of Alzheimer's disease (AD) as well as its prodromal stage, i.e., mild cognitive impairment (MCI). However, most existing methods focus on using only a single property of connectivity networks (e.g., The correlation between paired brain regions), which can not fully reflect the topological information among multiple brain regions. To address that problem, in this paper we propose a novel connectivity-network-based framework to fuse multiple properties of network features for MCI classification. Specifically, two different types of network features (i.e., Brain region and sub graph) are respectively used to quantify two different properties of networks, where two kinds of feature selection methods are further performed to remove the irrelevant and redundant features. Then, multi-kernel learning technique is adopted on those corresponding selected features to obtain the final classification results. We evaluate our proposed method on a real MCI dataset containing 12 MCI patients and 25 healthy controls. The experimental results show that by using multiple properties of network features our method achieves better performance than traditional methods using only single property of network features.","2375-9232;2375-9259","978-1-4799-4274-9978-1-4799-4275","10.1109/ICDMW.2014.98","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7022705","Mild cognitive impairment (MCI);Brain connectivity network;Subgraph;Multiple features","Kernel;Feature extraction;Educational institutions;Diseases;Support vector machines;Computer science;Electronic mail","brain;cognition;diseases;feature selection;learning (artificial intelligence);neurophysiology;patient diagnosis","multiple network features;mild cognitive impairment classification;connectivity-network-based techniques;Alzheimer's disease diagnosis;topological information;connectivity-network-based framework;MCI classification;feature selection methods;multikernel learning technique;MCI dataset;MCI patients","","","23","","","","","IEEE","IEEE Conferences"
"Web mining based OALF model for context-aware mobile advertising system","Y. Jung; S. Lim; J. Kim; S. Kim","Convergent Service Platform Research Department, ETRI, Korea; Convergent Service Platform Research Department, ETRI, Korea; Convergent Service Platform Research Department, ETRI, Korea; Convergent Service Platform Research Department, ETRI, Korea","2009 IFIP/IEEE International Symposium on Integrated Network Management-Workshops","","2009","","","211","216","Much of the human activity defines information context and it can be effectively used for a matching process of context-aware mobile advertising systems. Although prior context-aware mobile advertising systems employed personalized and context sensitive approaches, they have mostly used simply aggregated user-side context information from sensors and have relied on previously prepared inference rules when performing match-making. There exist limitations in identifying more diverse variations that can happen in the real world due to the lack of considerations on daily human lives. As a novel solution, in this paper, we address a natural language processing (NLP) combined Web mining approach. Especially, we propose an object-activity-location-feedback (OALF) model which describes what objects are used for a specific activity in a specific location. Most of all, time variant feedback valences were employed to estimate users' responses to the advertisement triggering entities (objects, activities, locations, and their combinations) in terms of long-term and short-term basis. The model can be realized with a set of web mining procedures including web crawling, data refinement, and sentiment analysis. In addition, we describe how the OALF model can be applied into context-aware mobile advertising and discuss its business model design issues.","","978-1-4244-3923-2978-1-4244-3924","10.1109/INMW.2009.5195962","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5195962","Web Mining;Feedback;Object;Activity;Location;Mobile Context-Aware Advertising System;and Architecture","Web mining;Context modeling;Advertising;Context-aware services;Feedback;Humans;Web pages;Natural language processing;Electronic mail;Prototypes","advertising;data mining;natural language processing;pattern matching;ubiquitous computing","Web mining based OALF model;Web mining based object activity location feedback model;context aware mobile advertising system;natural language processing;NLP;time variant feedback;business model design issue","","2","27","","","","","IEEE","IEEE Conferences"
"Towards a Simplification of Medical Documents","F. Nakhle; S. Raheel","Computer Science department, American University of Science and Technology, Beirut, Lebanon; Computer Science department, American University of Science and Technology, Beirut, Lebanon","2018 IEEE International Multidisciplinary Conference on Engineering Technology (IMCET)","","2018","","","1","6","In this paper, we propose a solution to simplify reading and understanding medical documents via the automatic demystification of complex medical terms found in web pages. The suggested approach detects those terms using a combination of NLP and heuristics. It computes the probability that a word is a medical and complex term through text processing and analysis. It then makes use of an ad hoc dictionary to simplify the complex terms. Finally, it exploits the Microsoft Bing cognitive API to retrieve images and videos related to the complex medical terms detected and presents them to the users so that they may have a better understanding of the document being read.","","978-1-5386-4500-0978-1-5386-4499-7978-1-5386-4501","10.1109/IMCET.2018.8603045","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8603045","Natural Language Processing (NLP);HeuristicModel;Data Mining;Text Analysis;Medical Documents","Natural language processing;Classification algorithms;Medical diagnostic imaging;Text analysis;Training;Tagging","application program interfaces;Internet;medical information systems;natural language processing;text analysis","complex medical terms;medical documents;automatic demystification;web pages;NLP;text processing;text analysis;ad hoc dictionary;Microsoft Bing cognitive API","","","17","","","","","IEEE","IEEE Conferences"
"THE ROLE OF ACCELEROMETER AND GYROSCOPE SENSORS IN IDENTIFICATION OF MILD COGNITIVE IMPAIRMENT","M. Gwak; E. Woo; M. Sarrafzadeh","University of California, Los Angeles; University of California, Los Angeles; University of California, Los Angeles","2018 IEEE Global Conference on Signal and Information Processing (GlobalSIP)","","2018","","","434","438","Mild cognitive impairment (MCI) is considered a transitional state between normal aging and Alzheimer's disease. Early and reliable detection of MCI is important for early treatment. In this study, we propose a novel application of machine learning to improve the diagnosis of MCI. We investigated the role of accelerometer and gyroscope sensor data during a 60-meter total walk-turn-walk activity for enhancing diagnosis. We also demonstrated a feature selection algorithm for a better classification of MCI from cognitively healthy (CH) aging using the sensor-derived features. Our classification accuracy is 0.88 ± 0.12 with the dataset from 53 older participants (71.58 ± 11.36 years; 27 MCI and 26 CH), which is a higher classification accuracy than only using the administered neuropsychological measures. A smartwatch-based assessment system serves the criteria of mobility, reliability, and easy assessment. This study indicates that sensor-derived parameters have the potential to support early identification of cognitive impairment.","","978-1-7281-1295-4978-1-7281-1294-7978-1-7281-1296","10.1109/GlobalSIP.2018.8646622","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8646622","Accelerometer;Gyroscope;Gait;Mild cognitive impairment (MCI);Feature selection","Feature extraction;Accelerometers;Gyroscopes;Sensors;Classification algorithms;Filtering algorithms;Information filtering","accelerometers;cognition;diseases;feature selection;geriatrics;gyroscopes;learning (artificial intelligence);medical diagnostic computing;neurophysiology;patient diagnosis;pattern classification;sensors","early identification;accelerometer;mild cognitive impairment;transitional state;normal aging;Alzheimer's disease;reliable detection;early treatment;gyroscope sensor data;60-meter total walk-turn-walk activity;feature selection algorithm;sensor-derived features;higher classification accuracy;sensor-derived parameters;MCI diagnosis;machine learning;cognitively healthy aging;classification accuracy;neuropsychological measures;smartwatch-based assessment system","","","19","","","","","IEEE","IEEE Conferences"
"Comparing Machine Learning Techniques for Dementia Diagnosis","A. J. C. C. Lins; M. T. C. Muniz; C. J. A. Bastos-Filho","Catholic University of Pernambuco, Recife/PE, Brazil; University of Pernambuco, Recife/PE, Brazil; University of Pernambuco, Recife/PE, Brazil","2018 IEEE Latin American Conference on Computational Intelligence (LA-CCI)","","2018","","","1","6","Recently, Machine Learning techniques are used for classification of cognitive abnormalities in older adults. The primary focus is to identify individuals at high risk of developing neurodegenerative diseases. This paper proposes an analysis of the performance of supervised learning techniques to classify data patterns of a real dataset with older adults from Pernambuco, Brazil. We consider as parameters, the genetic markups (CYP46A1 and APOE), demographic data (gender, age, level of education - study time) and cognitive tests scores (Mini-Mental State Exame, Clinical Dementia Rating, Ascertaining Dementia, and Semantic Verbal Fluency Test). The target is to design a classifier for healthy and pathological aging with machine learning techniques. We assessed the performance of Artificial Neural Networks, Random Forest, Support Vector Machine, and Stochastic Gradient Boosting. From the results, we demonstrate that the effectiveness of Machine Learning techniques to diagnose dementia as a human specialist had done previously. The results using cognitive tests produce median values for accuracy greater than 90%, and the genetic markups do not have a positive influence to produce best results. The presented approach is a valuable tool for identifying patients with dementia or MCI and can be used to support the diagnostic process, by providing an outstanding and cheaper support decision tool in the diagnostics of neurodegenerative diseases.","","978-1-5386-4626-7978-1-5386-4625-0978-1-5386-4627","10.1109/LA-CCI.2018.8625209","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8625209","dementia;machine learning;genetic polymorphisms;cognitive tests","Dementia;Machine learning;Genetics;Support vector machines;Radio frequency;Databases","brain;cognition;diseases;genetics;learning (artificial intelligence);medical diagnostic computing;neural nets;neurophysiology;patient diagnosis;pattern classification;stochastic processes;support vector machines","cognitive test scores;support decision tool;stochastic gradient boosting;random forest;artificial neural networks;pathological aging;healthy aging;Semantic Verbal Fluency Test;Clinical Dementia Rating;Mini-Mental State Exame;demographic data;data patterns;supervised learning techniques;older adults;cognitive abnormalities;machine learning techniques;Dementia diagnosis;neurodegenerative diseases;genetic markups;Support Vector Machine","","","32","","","","","IEEE","IEEE Conferences"
"Multimodal Content Analysis for Effective Advertisements on YouTube","N. Vedula; W. Sun; H. Lee; H. Gupta; M. Ogihara; J. Johnson; G. Ren; S. Parthasarathy","NA; NA; NA; NA; NA; NA; NA; NA","2017 IEEE International Conference on Data Mining (ICDM)","","2017","","","1123","1128","The recent advancement of web-scale digital advertising saw a paradigm shift from the conventional focus of digital advertisement distribution towards integrating digital processes and methodologies and forming a seamless workflow of advertisement design, production, distribution, and effectiveness monitoring. In this work, we implemented a computational framework for the predictive analysis of the content-based features extracted from advertisement video files and various effectiveness metrics to aid the design and production processes of commercial advertisements. Our proposed predictive analysis framework extracts multi-dimensional temporal patterns from the content of advertisement videos using multimedia signal processing and natural language processing tools. The pattern analysis part employs an architecture of cross modality feature learning where data streams from different feature dimensions are employed to train separate neural network models and then these models are fused together to learn a shared representation. Subsequently, a neural network model trained on this joint representation is utilized as a classifier for predicting advertisement effectiveness. Based on the predictive patterns identified between the content features and the effectiveness metrics of advertisements, we have elicited a useful set of auditory, visual and textual patterns that is strongly correlated with the proposed effectiveness metrics while can be readily implemented in the design and production processes of commercial advertisements. We validate our approach using subjective ratings from a dedicated user study, the text sentiment strength of online viewer comments, and a viewer opinion metric of the likes/views ratio of each advertisement from YouTube video-sharing website.","2374-8486","978-1-5386-3835-4978-1-5386-3834-7978-1-5386-2449","10.1109/ICDM.2017.149","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8215612","","Feature extraction;Measurement;Multimedia communication;Production;Streaming media;Neural networks;Visualization","advertising data processing;feature extraction;learning (artificial intelligence);multimedia computing;natural language processing;neural nets;pattern classification;social networking (online);text analysis;video signal processing","multimodal content analysis;effective advertisements;web-scale digital advertising;digital processes;advertisement design;effectiveness monitoring;advertisement video files;effectiveness metrics;commercial advertisements;predictive analysis framework;multidimensional temporal patterns;advertisement videos;multimedia signal processing;natural language processing tools;pattern analysis part;separate neural network models;neural network model;predictive patterns;content features;textual patterns;YouTube video-sharing website;feature dimensions;cross modality feature learning;classifier;visual patterns","","1","29","","","","","IEEE","IEEE Conferences"
"Classification of Alzheimer's disease and mild cognitive impairment: Machine learning applied to rs-fMRI brain graphs","S. Golbabaei; A. Vahid; J. Hatami; H. Soltanian-Zadeh","Department of Psychology, School of Psychology and Educational Sciences, University of Tehran, Iran; Control and Intelligent Processing Center of Excellence (CIPCE), School of Electrical and Computer Engineering, University of Tehran, Iran; Department of Psychology, School of Psychology and Educational Sciences, University of Tehran, Iran; Control and Intelligent Processing Center of Excellence (CIPCE), School of Electrical and Computer Engineering, University of Tehran, Iran","2016 23rd Iranian Conference on Biomedical Engineering and 2016 1st International Iranian Conference on Biomedical Engineering (ICBME)","","2016","","","35","40","A growing number of studies use resting state functional magnetic resonance imaging (rs-fMRI) to investigate functional alterations in Alzheimer's disease (AD) and Mild cognitive impairment (MCI). In this study, we evaluate the effectiveness of graph theory and machine learning in the diagnosis of AD and MCI at the subject level. Moreover, we explore the effect of different methods of graph construction on the classification accuracy. To this end, the rs-fMRI data from 32 AD, 76 MCI, and 46 healthy elderly subjects are used along with three different connectivity measures: Pearson correlation, bend correlation, and mutual information. Both weighted and binary graphs are created for each subject at different density ranges. Based on each, various graph measures have been extracted. Finally, sequential floating forward selection and support vector machine are utilized. Our results suggest that bend correlation is more effective in the classification of AD and MCI. Moreover, weighted graphs and lower density ranges increase accuracy. Finally, bend correlation along with the weighted graph and density threshold of 10% generate the highest accuracy (93%). This study concludes that rs-fMRI and graph theory may provide a non-invasive means for the diagnosis of AD and MCI.","","978-1-5090-3452-9978-1-5090-3453","10.1109/ICBME.2016.7890925","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7890925","Alzheimer's disease;MCI;resting state fMRI;graph theory;machine learning;network construction","Correlation;Alzheimer's disease;Atmospheric measurements;Particle measurements;Graph theory;Mutual information","biomedical MRI;brain;cognition;diseases;feature extraction;graph theory;image classification;learning (artificial intelligence);medical image processing;neurophysiology;support vector machines","Alzheimer's disease classification;mild cognitive impairment;machine learning;rs-fMRI brain graphs;resting state functional magnetic resonance imaging;functional alterations;graph theory;subject level;graph construction;Pearson correlation;bend correlation;mutual information;weighted graphs;binary graphs;graph measure extraction;sequential floating forward selection;support vector machine","","","24","","","","","IEEE","IEEE Conferences"
"Alzheimer's disease patients classification through EEG signals processing","G. Fiscon; E. Weitschek; G. Felici; P. Bertolazzi; S. De Salvo; P. Bramanti; M. C. De Cola","Department of Computer, Control and Management Engineering, Sapienza University, Rome, Italy; Institute of Systems Analysis and Computer Science, National Research Council, Rome, Italy; Institute of Systems Analysis and Computer Science, National Research Council, Rome, Italy; Institute of Systems Analysis and Computer Science, National Research Council, Rome, Italy; IRCCS Centro Neurolesi “Bonino-Pulejo”, Messina, Italy; IRCCS Centro Neurolesi “Bonino-Pulejo”, Messina, Italy; IRCCS Centro Neurolesi “Bonino-Pulejo”, Messina, Italy","2014 IEEE Symposium on Computational Intelligence and Data Mining (CIDM)","","2014","","","105","112","Alzheimer's Disease (AD) and its preliminary stage - Mild Cognitive Impairment (MCI) - are the most widespread neurodegenerative disorders, and their investigation remains an open challenge. ElectroEncephalography (EEG) appears as a non-invasive and repeatable technique to diagnose brain abnormalities. Despite technical advances, the analysis of EEG spectra is usually carried out by experts that must manually perform laborious interpretations. Computational methods may lead to a quantitative analysis of these signals and hence to characterize EEG time series. The aim of this work is to achieve an automatic patients classification from the EEG biomedical signals involved in AD and MCI in order to support medical doctors in the right diagnosis formulation. The analysis of the biological EEG signals requires effective and efficient computer science methods to extract relevant information. Data mining, which guides the automated knowledge discovery process, is a natural way to approach EEG data analysis. Specifically, in our work we apply the following analysis steps: (i) pre-processing of EEG data; (ii) processing of the EEG-signals by the application of time-frequency transforms; and (iii) classification by means of machine learning methods. We obtain promising results from the classification of AD, MCI, and control samples that can assist the medical doctors in identifying the pathology.","","978-1-4799-4518","10.1109/CIDM.2014.7008655","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7008655","","Electroencephalography;Feature extraction;Data mining;Computational modeling;Electrodes;Diseases;Support vector machines","data mining;diseases;electroencephalography;learning (artificial intelligence);medical signal processing;patient diagnosis;time series;transforms","Alzheimers disease patients classification;EEG signals processing;AD;MCI;mild cognitive impairment;neurodegenerative disorders;electroencephalography;noninvasive technique;repeatable technique;brain abnormalities;EEG time series;automatic patients classification;EEG biomedical signals;data mining;automated knowledge discovery process;EEG data analysis;time-frequency transforms;machine learning methods;medical doctors;pathology","","4","38","","","","","IEEE","IEEE Conferences"
"11C-PIB PET image analysis for Alzheimer's diagnosis using weighted voting ensembles","W. Wu; J. Venugopalan; M. D. Wang","Wallace H. Countler Department of Biomedical Engineering, Georgia Institute of Technology and Emory University, Atlanta, 30332, USA; Wallace H. Countler Department of Biomedical Engineering, Georgia Institute of Technology and Emory University, Atlanta, 30332, USA; Wallace H. Countler Department of Biomedical Engineering, Georgia Institute of Technology and Emory University, Atlanta, 30332, USA","2017 39th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC)","","2017","","","3914","3917","Alzheimer's Disease (AD) is one of the leading causes of death and dementia worldwide. Early diagnosis confers many benefits, including improved care and access to effective treatment. However, it is still a medical challenge due to the lack of an efficient and inexpensive way to assess cognitive function [1]. Although research on data from Neuroimaging and Brain Initiative and the advancement in data analytics has greatly enhanced our understanding of the underlying disease process, there is still a lack of complete knowledge regarding the indicative biomarkers of Alzheimer's Disease. Recently, computer aided diagnosis of mild cognitive impairment and AD with functional brain images using machine learning methods has become popular. However, the prediction accuracy remains unoptimistic, with prediction accuracy ranging from 60% to 88% [2,3,6]. Among them, support vector machine is the most popular classifier. However, because of the relatively small sample size and the amount of noise in functional brain imaging data, a single classifier cannot achieve high classification performance. Instead of using a global classifier, in this work, we aim to improve AD prediction accuracy by combining three different classifiers using weighted and unweighted schemes. We rank image-derived features according to their importance to the classification performance and show that the top ranked features are localized in the brain areas which have been found to associate with the progression of AD. We test the proposed approach on 11C-PIB PET scans from The Alzheimer's Disease Neuroimaging Initiative (ADNI) database and demonstrated that the weighted ensemble models outperformed individual models of K-Nearest Neighbors, Random Forests, Neural Nets with overall cross validation accuracy of 86.1% ± 8.34%, specificity of 90.6% ± 12.9% and test accuracy of 80.9% and specificity 85.76% in classification of AD, mild cognitive impairment and healthy elder adults.","1558-4615;1557-170X","978-1-5090-2809-2978-1-5090-2810","10.1109/EMBC.2017.8037712","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8037712","","Dementia;Radio frequency;Brain;Feature extraction;Positron emission tomography","brain;cognition;diseases;geriatrics;image classification;learning (artificial intelligence);medical image processing;neural nets;neurophysiology;positron emission tomography;random processes;support vector machines","11C-PIB PET image analysis;Alzheimer's diagnosis;weighted voting ensembles;dementia;cognitive function;Neuroimaging and Brain Initiative and the advancement;data analytics;disease process;biomarkers;computer aided diagnosis;mild cognitive impairment;machine learning methods;support vector machine;functional brain imaging data;classification performance;global classifier;AD prediction accuracy;image-derived features;ranked features;brain areas;11C-PIB PET scans;Alzheimer's Disease Neuroimaging Initiative database;ADNI;weighted ensemble models;K-Nearest Neighbors;Random Forests;Neural Nets","","","16","","","","","IEEE","IEEE Conferences"
"Machine learning for very early Alzheimer's Disease diagnosis; a18F-FDG and PiB PET comparison","I. A. Illan; J. M. Górriz; J. Ramírez; R. Chaves; F. Segovia; M. López; D. Salas-Gonzalez; P. Padilla; C. G. Puntonet","Department of Signal Theory, Networking and Communications. University of Granada, Spain; Department of Signal Theory, Networking and Communications. University of Granada, Spain; Department of Signal Theory, Networking and Communications. University of Granada, Spain; Department of Signal Theory, Networking and Communications. University of Granada, Spain; Department of Signal Theory, Networking and Communications. University of Granada, Spain; Department of Signal Theory, Networking and Communications. University of Granada, Spain; Department of Signal Theory, Networking and Communications. University of Granada, Spain; Department of Signal Theory, Networking and Communications. University of Granada, Spain; Department of Signal Theory, Networking and Communications. University of Granada, Spain","IEEE Nuclear Science Symposuim & Medical Imaging Conference","","2010","","","2334","2337","This paper shows a machine learning approach based on Principal Component Analysis (PCA) and Support Vector Machine (SVM) to compare the diagnostic accuracy on very early Alzheimer's Disease (AD) patients with<sup>18</sup>F FDG and Pittsburg Compound B (PiB) PET imaging. The Alzheimer's Disease Neuroimaging Initiative (ADNI) dataset is used for testing, making use of the longitudinal character. Mild Cognitive Impairment (MCI) individuals that after a two years follow up converted into possible AD where used as very early AD patients. While<sup>18</sup>F FDG and PiB have similar diagnostic accuracy in AD, PiB is shown to have higher discriminative power in very early AD with respect to FDG.","1082-3654;1082-3654","978-1-4244-9105-6978-1-4244-9106-3978-1-4244-9104","10.1109/NSSMIC.2010.5874201","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5874201","","Positron emission tomography;Accuracy;Support vector machines;Kernel;Alzheimer's disease;Sensitivity;Principal component analysis","diseases;learning (artificial intelligence);medical image processing;neurophysiology;positron emission tomography;principal component analysis;support vector machines","machine learning;very early Alzheimer disease diagnosis;18F-FDG PET;PiB PET;principal component analysis;PCA;support vector machine;SVM;Pittsburg Compound B PET imaging;Alzheimer Disease Neuroimaging Initiative dataset;mild cognitive impairment","","1","8","","","","","IEEE","IEEE Conferences"
"Discovery and use of efficient biomarkers for objective disease state assessment in Alzheimer's disease","M. van Gils; J. Koikkalainen; J. Mattila; S. Herukka; J. Lötjönen; H. Soininen","VTT Technical Research Centre of Finland, Tampere, Finland; VTT Technical Research Centre of Finland, Tampere, Finland; VTT Technical Research Centre of Finland, Tampere, Finland; Neurology Department, University of Eastern Finland, Kuopio, Finland; VTT Technical Research Centre of Finland, Tampere, Finland; Neurology Department, University of Eastern Finland, Kuopio, Finland","2010 Annual International Conference of the IEEE Engineering in Medicine and Biology","","2010","","","2886","2889","Objective and early detection of Alzheimer's disease (AD) is a demanding problem requiring consideration of manymodal observations. Potentially, many features could be used to discern between people without AD and those at different stages of the disease. Such features include results from cognitive and memory tests, imaging (MRI, PET) results, cerebral spine fluid data, blood markers etc. However, in order to define an efficient and limited set of features that can be employed in classifiers requires mining of data from many patient cases. In this study we used two databases, ADNI and Kuopio LMCI, to investigate the relative importance of features and their combinations. Optimal feature combinations are to be used in a Clinical Decision Support System that is to be used in clinical AD diagnosis practice.","1094-687X;1558-4615","978-1-4244-4123-5978-1-4244-4124","10.1109/IEMBS.2010.5626311","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5626311","","Databases;Biomarkers;Magnetic resonance imaging;Diseases;Classification algorithms;Heating;Medical diagnostic imaging","data mining;database management systems;decision support systems;diseases;medical computing;neurophysiology;patient diagnosis;pattern classification","efficient biomarker discovery;objective disease state assessment;Alzheimer's disease;classifiers;data mining;ADNI database;Kuopio LMCI database;clinical decision support system;clinical AD diagnosis","Aged;Alzheimer Disease;Apolipoproteins E;Biological Markers;Cerebrospinal Fluid;Cohort Studies;Decision Support Systems, Clinical;Female;Humans;Magnetic Resonance Imaging;Male;Middle Aged;Positron-Emission Tomography;Questionnaires;Reproducibility of Results","","5","","","","","IEEE","IEEE Conferences"
"Predicting Pure Amnestic Mild Cognitive Impairment Conversion to Alzheimer's Disease Using Joint Modeling of Imaging and Clinical Data","V. Kebets; J. Richiardi; M. v. Assche; R. Goldstein; M. v. d. Meulen; P. Vuilleumier; D. V. d. Ville; F. Assal","NA; NA; NA; NA; NA; NA; NA; NA","2015 International Workshop on Pattern Recognition in NeuroImaging","","2015","","","85","88","Predicting the conversion of amnestic mild cognitive impairment (aMCI) to Alzheimer's disease (AD) is a challenging problem for which machine learning could be of great use. In this work, we aim at assessing the independent and joint value of imaging (structural MRI, resting-state functional MRI (rsfMRI)) and clinical data in classifying stable versus progressive aMCI. Surprisingly, we found no previous studies using rsfMRI to predict conversion of MCI to AD. We use singular value decomposition as a feature extractor before combining modalities. We reach accuracies of up to 82% using rsfMRI, 86% using sMRI and rsfMRI combined, and 77% using a combination of all modalities.","","978-1-4673-7145","10.1109/PRNI.2015.23","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7270854","Alzheimer's disease;amnestic mild cognitive impairment;magnetic resonance imaging;machine learning;singular value decomposition","Accuracy;Alzheimer's disease;Joints;Magnetic resonance imaging;Feature extraction","biomedical MRI;diseases;feature extraction;medical image processing;singular value decomposition","amnestic mild cognitive impairment;Alzheimers disease;clinical data;structural MRI;resting-state functional MRI;aMCI;rsfMRI;AD;singular value decomposition;feature extractor;sMRI;magnetic resonance imaging","","1","25","","","","","IEEE","IEEE Conferences"
"Automatic detection and rating of dementia of Alzheimer type through lexical analysis of spontaneous speech","C. Thomas; V. Keselj; N. Cercone; K. Rockwood; E. Asp","Fac. of Comput. Sci., Dalhousie Univ., Halifax, NS, Canada; Fac. of Comput. Sci., Dalhousie Univ., Halifax, NS, Canada; Fac. of Comput. Sci., Dalhousie Univ., Halifax, NS, Canada; NA; NA","IEEE International Conference Mechatronics and Automation, 2005","","2005","3","","1569","1574 Vol. 3","Current methods of assessing dementia of Alzheimer type (DAT) in older adults involve structured interviews that attempt to capture the complex nature of deficits suffered. One of the most significant areas affected by the disease is the capacity for functional communication as linguistic skills break down. These methods often do note capture the true nature of language deficits in spontaneous speech. We address this issue by exploring novel automatic and objective methods for diagnosing patients through analysis of spontaneous speech. We detail several lexical approaches to the problem of detecting and rating DAT. The approaches explored rely on character n-gram-based techniques, shown recently to perform successfully in a different, but related task of automatic authorship attribution. We also explore the correlation of usage frequency of different parts of speech and DAT. We achieve a high 95% accuracy of detecting dementia when compared with a control group, and we achieve 70% accuracy in rating dementia in two classes, and 50% accuracy in rating dementia into four classes. Our results show that purely computational solutions offer a viable alternative to standard approaches to diagnosing the level of impairment in patients. These results are significant step forward toward automatic and objective means to identifying early symptoms of DAT in older adults.","2152-7431;2152-744X","0-7803-9044","10.1109/ICMA.2005.1626789","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1626789","","Speech analysis;Dementia;Alzheimer's disease;Machine learning;Natural language processing;Text categorization;Electric breakdown;Computer science;Medical diagnostic imaging;Application specific processors","diseases;geriatrics;patient diagnosis;learning (artificial intelligence);natural languages;medical computing","spontaneous speech;lexical analysis;dementia of Alzheimer type;linguistic skills break down;character n-gram-based techniques;automatic diagnostics;machine learning;natural language processing","","17","25","","","","","IEEE","IEEE Conferences"
