Title,DOI
"Machine Learning for Predicting Cognitive Diseases: Methods, Data Sources and Risk Factors",10.1007/s10916-018-1071-x
Two-Stage Feature Selection of Voice Parameters for Early Alzheimer's Disease Prediction,10.1016/j.irbm.2018.10.016
Alzheimer's disease diagnosis based on multiple cluster dense convolutional networks,10.1016/j.compmedimag.2018.09.009
Machine Learning-based Individual Assessment of Cortical Atrophy Pattern in Alzheimer's Disease Spectrum: Development of the Classifier and Longitudinal Evaluation,10.1038/s41598-018-22277-x
Machine learning identified an Alzheimer’s disease-related FDG-PET pattern which is also expressed in Lewy body dementia and Parkinson’s disease dementia,10.1038/s41598-018-31653-6
Systematic Analysis and Biomarker Study for Alzheimer’s Disease,10.1038/s41598-018-35789-3
"Using Multi-Scale Genetic, Neuroimaging and Clinical Data for Predicting Alzheimer’s Disease and Reconstruction of Relevant Biological Mechanisms",10.1038/s41598-018-29433-3
Using high-dimensional machine learning methods to estimate an anatomical risk factor for Alzheimer's disease across imaging databases,10.1016/j.neuroimage.2018.08.040
Diacritic restoration of Turkish tweets with word2vec,10.1016/j.jestch.2018.09.002
A Highly Configurable Flexible Analytic Model for MCI/Frailty Risk Detection in Age-friendly Cities,10.23919/SOFTCOM.2018.8555810
Sangati - A Social Event Web approach to Index Videos,10.1109/ICACCI.2018.8554606
Early detection and characterization of Alzheimer's using medical image analysis,10.1063/1.5078991
Salient networks: a novel application to study Alzheimer disease,10.1186/s12938-018-0566-5
Machine learning in acute ischemic stroke neuroimaging,10.3389/fneur.2018.00945
Convolutional neural networks-based MRI image analysis for the Alzheimer’s disease prediction from mild cognitive impairment,10.3389/fnins.2018.00777
"INES 2018 - IEEE 22nd International Conference on Intelligent Engineering Systems, Proceedings",
Predicting conversion from MCI to AD by integrating rs-fMRI and structural MRI,10.1016/j.compbiomed.2018.09.004
Discrimination and conversion prediction of mild cognitive impairment using convolutional neural networks,10.21037/qims.2018.10.17
Predicting diagnosis of Alzheimer’s Disease and related dementias using administrative claims,10.18553/jmcp.2018.24.11.1138
On the relevance of a business constraint to an event log,10.1016/j.is.2018.01.011
An EEG nicotinic acetylcholine index to assess the efficacy of pro-cognitive compounds,10.1016/j.clinph.2018.08.014
Decision tree for early detection of cognitive impairment by community pharmacists,10.3389/fphar.2018.01232
Decision Supporting Model for One-year Conversion Probability from MCI to AD using CNN and SVM,10.1109/EMBC.2018.8512398
Technology-Facilitated Detection of Mild Cognitive Impairment: A Review,10.1109/EIT.2018.8500151
"Proceedings - 2018 International Conference on Big Data Innovations and Applications, Innovate-Data 2018",
Attentive neural architecture for ad-hoc structured document retrieval,10.1145/3269206.3271801
A System for Aiding Diagnosis of Alzheimer's Disease and Related Disorders with an Adaptable Decision Model,10.1109/IJCNN.2018.8489084
Topological pattern recognition of severe Alzheimer's disease via regularized supervised learning of EEG complexity,10.3389/fnins.2018.00685
Deep learning based low-cost high-accuracy diagnostic framework for dementia using comprehensive neuropsychological assessment profiles,10.1186/s12877-018-0915-z
"Alzheimer's biomarkers from multiple modalities selectively discriminate clinical status: Relative importance of salivary metabolomics panels, genetic, lifestyle, cognitive, functional health and demographic risk markers",10.3389/fnagi.2018.00296
A hybrid data mining model for diagnosis of patients with clinical suspicion of dementia,10.1016/j.cmpb.2018.08.016
Gaussian Discriminant Analysis for Optimal Delineation of Mild Cognitive Impairment in Alzheimer's Disease,10.1142/S012906571850017X
Multi-Modality Cascaded Convolutional Neural Networks for Alzheimer’s Disease Diagnosis,10.1007/s12021-018-9370-4
Clinical use of semantic space models in psychiatry and neurology: A systematic review and meta-analysis,10.1016/j.neubiorev.2018.06.008
MRI predictors of amyloid pathology: Results from the EMIF-AD Multimodal Biomarker Discovery study,10.1186/s13195-018-0428-1
A shot taxonomy in the era of tracking data in professional tennis,10.1080/02640414.2018.1438094
Linked open data-based framework for automatic biomedical ontology generation,10.1186/s12859-018-2339-3
Identification of Alzheimer's disease and mild cognitive impairment using multimodal sparse hierarchical extreme learning machine,10.1002/hbm.24207
Integrating spatial-anatomical regularization and structure sparsity into SVM: Improving interpretation of Alzheimer's disease classification,10.1016/j.neuroimage.2018.05.051
"Computational Approaches to Understanding Mental Dysfunction: Progress, Challenges, and New Frontiers",10.1016/j.bpsc.2018.07.005
Scheduling and Feed Quality Optimization of Concentrate Raw Materials in the Copper Refining Industry,10.1021/acs.iecr.8b01512
A comprehensive review of magnetoencephalography (MEG) studies for brain functionality in healthy aging and Alzheimer’s disease (AD),10.3389/fncom.2018.00060
On the computational study of Chinese Alzheimer’s disease online communities: A sentiment and contextual analysis approach,10.1145/3243250.3243259
Wave2Vec: Vectorizing electroencephalography bio-signal for prediction of brain disease,10.3390/ijerph15081750
Spam classification: a comparative analysis of different boosted decision tree approaches,10.1108/JSIT-11-2017-0105
Cooperative Correlational and Discriminative Ensemble Classifier Learning for Early Dementia Diagnosis Using Morphological Brain Multiplexes,10.1109/ACCESS.2018.2863657
Long-term stock index forecasting based on text mining of regulatory disclosures,10.1016/j.dss.2018.06.008
Individual identification using multi-metric of DTI in Alzheimer's disease and mild cognitive impairment,10.1088/1674-1056/27/8/088702
BrainMap VBM: An environment for structural meta-analysis,10.1002/hbm.24078
Detecting packet dropping malicious nodes in MANET using SVM,10.5958/0976-5506.2018.00752.0
Deficit schizophrenia is a discrete diagnostic category defined by neuro-immune and neurocognitive features: results of supervised machine learning,10.1007/s11011-018-0208-4
"2018 International Workshop on Pattern Recognition in Neuroimaging, PRNI 2018",
Corpus callosum radiomics-based classification model in Alzheimer's disease: A case-control study,10.3389/fneur.2018.00618
A novel approach to brain connectivity reveals early structural changes in Alzheimer's disease,10.1088/1361-6579/aacf1f
An expert system for malaria diagnosis using the fuzzy cognitive map engine,
MIX: Multi-channel information crossing for text matching,10.1145/3219819.3219928
"A longitudinal magnetic resonance imaging study of neurodegenerative and small vessel disease, and clinical cognitive trajectories in non demented patients with transient ischemic attack: The PREVENT study",10.1186/s12877-018-0858-4
Determination of Imaging Biomarkers to Decipher Disease Trajectories and Differential Diagnosis of Neurodegenerative Diseases (DIsease TreND),10.1016/j.jneumeth.2018.05.009
An attentive neural architecture for joint segmentation and parsing and its application to real estate ads,10.1016/j.eswa.2018.02.031
Predicting aging of brain metabolic topography using variational autoencoder,10.3389/fnagi.2018.00212
A similarity-based approach to leverage multi-cohort medical data on the diagnosis and prognosis of Alzheimer's disease,10.1093/gigascience/giy085
Comparison of feature representations in MRI-based MCI-to-AD conversion prediction,10.1016/j.mri.2018.03.003
Leveraging Al,
Unsupervised machine learning to identify high likelihood of dementia in population-based surveys: Development and validation study,10.2196/10493
Energy detection based spectrum sensing data mining for safety-message delivery in CR enabled VANET,10.1109/ICISC.2018.8398979
Alzheimer detection model applying artificial intelligence techniques [Modelo de detección de Alzheimer aplicando técnicas de inteligencia artificial],10.23919/CISTI.2018.8399356
Playful multimodal training for persons with dementia with executive function based decision support,10.1145/3197768.3197789
Classification of alzheimer’s disease by combination of convolutional and recurrent neural networks using FDG-PET images,10.3389/fninf.2018.00035
An Empirical Evaluation of Deep Learning for Network Anomaly Detection,10.1109/ICCNC.2018.8390278
Spatial: A language and compiler for application accelerators,10.1145/3192366.3192379
How random is the random forest? Random forest algorithm on the service of structural imaging biomarkers for Alzheimer's disease: From Alzheimer's disease neuroimaging initiative (ADNI) database,10.4103/1673-5374.233433
"A multi-modal, multi-atlas-based approach for Alzheimer detection via machine learning",10.1002/ima.22263
Brain properties predict proximity to symptom onset in sporadic Alzheimer's disease,10.1093/brain/awy093
Evaluation of non-negative matrix factorization of grey matter in age prediction,10.1016/j.neuroimage.2018.03.007
A visual analytics system to support tax evasion discovery,10.1016/j.dss.2018.03.008
Multi-task fused sparse learning for mild cognitive impairment identification,10.3233/THC-174587
Differentiating patients at the memory clinic with simple reaction time variables: A predictive modeling approach using support vector machines and bayesian optimization,10.3389/fnagi.2018.00144
Telephone-based dementia screening i: Automated semantic verbal fluency assessment,10.1145/3240925.3240943
Deep learning reveals Alzheimer's disease onset in MCI subjects: Results from an international challenge,10.1016/j.jneumeth.2017.12.011
Looking for Alzheimer's Disease morphometric signatures using machine learning techniques,10.1016/j.jneumeth.2017.11.013
An ensemble learning system for a 4-way classification of Alzheimer's disease and mild cognitive impairment,10.1016/j.jneumeth.2018.03.008
Ensemble support vector machine classification of dementia using structural MRI and mini-mental state examination,10.1016/j.jneumeth.2018.01.003
Ensemble based on static classifier selection for automated diagnosis of Mild Cognitive Impairment,10.1016/j.jneumeth.2017.11.002
Ensemble of random forests One vs. Rest classifiers for MCI and AD prediction using ANOVA cortical and subcortical feature selection and partial least squares,10.1016/j.jneumeth.2017.12.005
"Random forest feature selection, fusion and ensemble strategy: Combining multiple morphological MRI measures to discriminate among healhy elderly, MCI, cMCI and alzheimer's disease patients: From the alzheimer's disease neuroimaging initiative (ADNI) database",10.1016/j.jneumeth.2017.12.010
Machine-learning neuroimaging challenge for automated diagnosis of mild cognitive impairment: Lessons learnt,10.1016/j.jneumeth.2017.12.019
A wrapped multi-label classifier for the automatic diagnosis and prognosis of Alzheimer's disease,10.1016/j.jneumeth.2017.12.016
"Classification of alzheimer’s disease, mild cognitive impairment, and normal controls with subnetwork selection and graph kernel principal component analysis based on minimum spanning tree brain functional network",10.3389/fncom.2018.00031
Characteristics of Mild Cognitive Impairment Using the Thai Version of the Consortium to Establish a Registry for Alzheimer's Disease Tests: A Multivariate and Machine Learning Study,10.1159/000487232
Multiscale deep neural network based analysis of FDG-PET images for the early diagnosis of Alzheimer's disease,10.1016/j.media.2018.02.002
Joint associations of β-amyloidosis and cortical thickness with cognition,10.1016/j.neurobiolaging.2018.01.017
Characterization of potential plasma biomarkers related to cognitive impairment by untargeted profiling of phospholipids using the HILIC-ESI-IT-TOF-MS system,10.1007/s00216-018-0975-0
Data-driven differential diagnosis of dementia using multiclass disease state index classifier,10.3389/fnagi.2018.00111
"2018 International Conference on Computing, Mathematics and Engineering Technologies: Invent, Innovate and Integrate for Socioeconomic Development, iCoMET 2018 - Proceedings",
Lifelog-based classification of mild cognitive impairment using artificial neural networks,10.23919/ELINFOCOM.2018.8330611
Use of multimodality imaging and artificial intelligence for diagnosis and prognosis of early stages of Alzheimer's disease,10.1016/j.trsl.2018.01.001
Evaluating older adult's brain health: Preliminary results from a clinical trial using novel EEG technology,10.4017/gt.2018.17.s.074.00
"In Schizophrenia, Depression, Anxiety, and Physiosomatic Symptoms Are Strongly Related to Psychotic Symptoms and Excitation, Impairments in Episodic Memory, and Increased Production of Neurotoxic Tryptophan Catabolites: a Multivariate and Machine Learning Study",10.1007/s12640-018-9868-4
Utility-Based Instruments for People with Dementia: A Systematic Review and Meta-Regression Analysis,10.1016/j.jval.2017.09.005
"Proceedings of 2017 International Conference on Intelligent Computing and Control, I2C2 2017",
ACM International Conference Proceeding Series,
Classification of dementia based on over-sampling approach and decision tree,10.1145/3206157.3206158
Machine learning behavioral recognition to support neuropsychological diagnosis of Cognitive decline,10.1145/3172944.3173147
VocabChecker: Measuring language abilities for detecting early stage dementia,10.1145/3180308.3180332
Diagnosis of Alzheimer's disease based on Support Tensor Machine and 3D brain white matter image [基于支持张量机算法和3D脑白质图像的阿尔兹海默症诊断],10.13471/j.cnki.acta.snus.2018.02.006
Binswanger's disease: biomarkers in the inflammatory form of vascular cognitive impairment and dementia,10.1111/jnc.14218
ICENCO 2017 - 13th International Computer Engineering Conference: Boundless Smart Societies,
Moderate traumatic brain injury identification for MEG data using PU (Positive and Unseen) learning,10.1109/PRIMEASIA.2017.8280355
Convolutional neural networks for soft-matching N-grams in ad-hoc search,10.1145/3159652.3159659
Alzheimer's disease diagnosis based on the Hippocampal Unified Multi-Atlas Network (HUMAN) algorithm,10.1186/s12938-018-0439-y
Sparse inverse covariance network-based modeling for mild cognitive impairment classification,10.1109/IST.2017.8261535
Data-driven identification of endophenotypes of Alzheimer's disease progression: Implications for clinical trials and therapeutic interventions,10.1186/s13195-017-0332-0
Deep convolutional neural network classifier for travel patterns using binary sensors,10.1109/ICAwST.2017.8256432
A novel Gaussian discriminant analysis-based computer aided diagnosis system for screening different stages of Alzheimer's disease,10.1109/BIBE.2017.00-41
Neuroimaging in psychiatry: Steps toward the clinical application of brain imaging in psychiatric disorders,10.1016/j.pnpbp.2017.08.019
Use of speech analyses within a mobile application for the assessment of cognitive impairment in elderly people,10.2174/1567205014666170829111942
Classification of Alzheimer and MCI phenotypes on MRI data using SVM,10.1007/978-3-319-67934-1_23
Easy screening for mild alzheimer’s disease and mild cognitive impairment from elderly speech,10.2174/1567205014666171120144343
Computer-based evaluation of Alzheimer's disease and mild cognitive impairment patients during a picture description task,10.1016/j.dadm.2018.02.004
Automatic identification of behavior patterns in mild cognitive impairments and Alzheimer’s disease based on activities of daily living,10.1007/978-3-319-94523-1_6
Intelligent hybrid approach for computer-aided diagnosis of Mild Cognitive Impairment,10.1007/978-3-319-98998-3_38
Machine learning of neuroimaging for assisted diagnosis of cognitive impairment and dementia: A systematic review,10.1016/j.dadm.2018.07.004
Predicting conversion of mild cognitive impairments to alzheimer’s disease and exploring impact of neuroimaging,10.1007/978-3-030-00689-1_9
A speech recognition-based solution for the automatic detection of mild cognitive impairment from spontaneous speech,10.2174/1567205014666171121114930
A clinically-translatable machine learning algorithm for the prediction of Alzheimer's disease conversion: Further evidence of its accuracy via a transfer learning approach,10.1017/S1041610218001618
ADMultiImg: A novel missing modality transfer learning based CAD system for diagnosis of MCI due to AD using incomplete multi-modality imaging data,10.1117/12.2293698
Computer-assisted prediction of clinical progression in the earliest stages of AD,10.1016/j.dadm.2018.09.001
A fast and accurate 3D fine-tuning convolutional neural network for alzheimer’s disease diagnosis,10.1007/978-981-13-2122-1_9
A clinically-translatable machine learning algorithm for the prediction of Alzheimer's disease conversion in individuals with mild and premild cognitive impairment,10.3233/JAD-170547
Big Data Analytical Approaches to the NACC Dataset: Aiding Preclinical Trial Enrichment,10.1097/WAD.0000000000000228
Learning to Detect Cognitive Impairment through Digital Games and Machine Learning Techniques,10.3414/ME17-02-0011
Combining structural magnetic resonance imaging and visuospatial tests to classify mild cognitive impairment,10.2174/1567205014666171030112339
Novel Effective Connectivity Inference Using Ultra-Group Constrained Orthogonal Forward Regression and Elastic Multilayer Perceptron Classifier for MCI Identification,10.1109/TMI.2018.2882189
Does ad-context matter on the effectiveness of online advertising?,10.18293/SEKE2018-144
Separating Symptomatic Alzheimer's Disease from Depression based on Structural MRI,10.3233/JAD-170964
Joint correlational and discriminative ensemble classifier learning for dementia stratification using shallow brain multiplexes,10.1007/978-3-030-00928-1_68
Classification of brain MRI with big data and deep 3D convolutional neural networks,10.1117/12.2293719
Multilevel diffusion tensor imaging classification technique for characterizing neurobehavioral disorders,10.1007/s11682-018-0002-2
Structural neuroimaging as clinical predictor: A review of machine learning applications,10.1016/j.nicl.2018.08.019
Supplier clustering based on unstructured manufacturing capability data,10.1115/DETC201885865
Multimodal Neuroimaging Feature Learning with Multimodal Stacked Deep Polynomial Networks for Diagnosis of Alzheimer's Disease,10.1109/JBHI.2017.2655720
Sentence Segmentation and Disfluency Detection in Narrative Transcripts from Neuropsychological Tests,10.1007/978-3-319-99722-3_41
Advances on automatic speech analysis for early detection of alzheimer disease: A non-linear multi-task approach,10.2174/1567205014666171120143800
Evaluating combinations of diagnostic tests to discriminate different dementia types,10.1016/j.dadm.2018.07.003
Multi-modality feature learning in diagnoses of alzheimer’s disease,10.1007/978-3-319-68843-5_1
"38th International Conference on Information Systems Architecture and Technology, ISAT 2017",
Semantic memory loss in Alzheimer’s disease: A linguistic approach [ПОТЕРЯ СЕМАНТИЧЕСКОЙ ПАМЯТИ ПРИ БОЛЕЗНИ АЛЬЦГЕЙМЕРА: ЛИНГВИСТИЧЕСКИЙ ПОДХОД],10.20916/1812-3228-2018-3-62-70
Low-resource text classification using domain-adversarial learning,10.1007/978-3-030-00810-9_12
Performance of machine learning methods applied to structural MRI and ADAS cognitive scores in diagnosing Alzheimer's disease,10.1016/j.bspc.2018.08.009
To disguise or to disclose? Effect of mimicking news articles on sponsored content engagement,
The development of a stochastic mathematical model of Alzheimer’s disease to help improve the design of clinical trials of potential treatments,10.1371/journal.pone.0190615
Multicenter studies of brain morphometry,10.1007/978-1-4939-7647-8_13
Known and unknown requirements in healthcare,10.1007/s00766-018-0301-6
Detection of dementia from responses to atypical questions asked by embodied conversational agents,10.21437/Interspeech.2018-1514
Detection of cognitive impairment using a machine-learning algorithm,10.2147/NDT.S171950
Diagnosis of Dementia by Machine learning methods in Epidemiological studies: a pilot exploratory study from south India,10.1007/s00127-017-1410-0
"14th IFIP WG 12.5 International Conference on Artificial Intelligence Applications and Innovations, AIAI 2018",
Towards Event Log Querying for Data Quality: Let’s Start with Detecting Log Imperfections,10.1007/978-3-030-02610-3_7
Framework utilizing machine learning to facilitate gait analysis as an indicator of vascular dementia,
A systematic approach for identifying shared mechanisms in epilepsy and its comorbidities,10.1093/database/bay050
An improved machine learning technique based on downsized KPCA for Alzheimer's disease classification,10.1002/ima.22304
Data-specific feature selection method identification for most reproducible connectomic feature discovery fingerprinting brain states,10.1007/978-3-030-00755-3_11
Prediction of cognitive and motor development in preterm children using exhaustive feature selection and cross-validation of near-term white matter microstructure,10.1016/j.nicl.2017.11.023
"3rd International Conference on Computational Intelligence, Cyber Security, and Computational Models, ICC3 2017",
Personalized and intelligent sleep lifestyle reasoner with web application for improving quality of sleep part of AAL architecture,10.1007/978-3-319-74935-8_15
A context and ad hoc lexicon proposal to an interdisciplinary approach to opinion analysis [La opinión en textos con un enfoque interdisciplinar: Propuesta de contexto y léxico ad hoc],10.22201/iibi.24488321xe.2018.77.57863
Genotype-phenotype association study via new multi-task learning model,10.1142/9789813235533_0033
CEUR Workshop Proceedings,
"31st International Conference on Industrial, Engineering and Other Applications of Applied Intelligent Systems IEA/AIE 2018",
"3rd International Conference on IoT as a Service, IoTaaS 2017",
"7th International Conference on Wireless Mobile Communication and Healthcare, MobiHealth 2017",
"21st International Conference on Distributed Computer and Communication Networks, DCCN 2018",
Picture perfect: An image mining of advertising content and its effects on social targeting,
"2nd International Conference on Computational Intelligence and Informatics, ICCII 2017",
Computerized neuropsychological assessment in mild cognitive impairment based on natural language processing-oriented feature extraction,10.1109/BIBM.2017.8217706
Predicting dementia screening and staging scores from semantic verbal fluency performance,10.1109/ICDMW.2017.100
A Gaussian discriminant analysis-based generative learning algorithm for the early diagnosis of mild cognitive impairment in Alzheimer's disease,10.1109/BIBM.2017.8217705
Progressive assessment system for dementia care through smart home,10.1109/ICAMMAET.2017.8186713
Detecting and predicting Alzheimer's disease severity in longitudinal acoustic data,10.1145/3175587.3175589
TQOR: Trust-based QoS-oriented routing in cognitive MANETs,10.1109/NCA.2017.8171332
Mining new applications from current algorithms,10.1016/S0169-2607(17)31259-2
Using artificial neural networks to select the parameters for the prognostic of mild cognitive impairment and dementia in elderly individuals,10.1016/j.cmpb.2017.09.013
Personalized long-term prediction of cognitive function: Using sequential assessments to improve model performance,10.1016/j.jbi.2017.11.002
Feature abstraction for early detection of multi-type of dementia with sparse auto-encoder,10.1109/SMC.2017.8123168
Machine learning classification combining multiple features of a hyper-network of fMRI data in Alzheimer's disease,10.3389/fnins.2017.00615
Early diagnosis of mild cognitive impairment: A case study in approaches to inductive-logic programming,10.1109/ICCI-CC.2017.8109760
Functional brain imaging synthesis based on image decomposition and kernel modeling: Application to neurodegenerative diseases,10.3389/fninf.2017.00065
Predicting Cognitive Recovery of Stroke Patients from the Structural MRI Connectome Using a Naïve Bayesian Tree Classifier,10.1109/CBMS.2017.106
Proceedings - IEEE Symposium on Computer-Based Medical Systems,
Computer network routing configuration based on intelligent algorithm,10.1109/FGCT.2017.8103736
Device-Free Non-Privacy Invasive Classification of Elderly Travel Patterns in A Smart House Using PIR Sensors and DCNN,10.1109/JSEN.2017.2771287
Multi-layer model of swarm intelligence for resilient autonomous systems,10.1109/DASC.2017.8102147
Identifying incipient dementia individuals using machine learning and amyloid imaging,10.1016/j.neurobiolaging.2017.06.027
"Development of Parkinson’s disease dementia prediction model based on verbal memory, visuospatial memory, and executive function",10.1166/jmihi.2017.2196
Learning-based structurally-guided construction of resting-state functional correlation tensors,10.1016/j.mri.2017.07.008
Machine Learning Applications to Resting-State Functional MR Imaging Analysis,10.1016/j.nic.2017.06.010
Eyetracking metrics reveal impaired spatial anticipation in behavioural variant frontotemporal dementia,10.1016/j.neuropsychologia.2017.10.014
