Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Prediction of Autopsy Verified Neuropathological Change of Alzheimer's Disease Using Machine Learning and MRI.","/pubmed/30618713","Kautzky A, Seiger R, Hahn A, Fischer P, Krampla W, Kasper S, Kovacs GG, Lanzenberger R.","Front Aging Neurosci. 2018 Dec 10;10:406. doi: 10.3389/fnagi.2018.00406. eCollection 2018.","Front Aging Neurosci.  2018","PubMed","citation","PMID:30618713 | PMCID:PMC6295575","pubmed","30618713","create date:2019/01/09 | first author:Kautzky A",
"Gradual Disturbances of the Amplitude of Low-Frequency Fluctuations (ALFF) and Fractional ALFF in Alzheimer Spectrum.","/pubmed/30618593","Yang L, Yan Y, Wang Y, Hu X, Lu J, Chan P, Yan T, Han Y.","Front Neurosci. 2018 Dec 20;12:975. doi: 10.3389/fnins.2018.00975. eCollection 2018.","Front Neurosci.  2018","PubMed","citation","PMID:30618593 | PMCID:PMC6306691","pubmed","30618593","create date:2019/01/09 | first author:Yang L",
"Discrimination and conversion prediction of mild cognitive impairment using convolutional neural networks.","/pubmed/30598877","Wu C, Guo S, Hong Y, Xiao B, Wu Y, Zhang Q; Alzheimer’s Disease Neuroimaging Initiative..","Quant Imaging Med Surg. 2018 Nov;8(10):992-1003. doi: 10.21037/qims.2018.10.17.","Quant Imaging Med Surg.  2018","PubMed","citation","PMID:30598877 | PMCID:PMC6288052","pubmed","30598877","create date:2019/01/02 | first author:Wu C",
"Neuroimaging markers of global cognition in early Alzheimer's disease: A magnetic resonance imaging-electroencephalography study.","/pubmed/30592179","Waser M, Benke T, Dal-Bianco P, Garn H, Mosbacher JA, Ransmayr G, Schmidt R, Seiler S, Sorensen HBD, Jennum PJ.","Brain Behav. 2019 Jan;9(1):e01197. doi: 10.1002/brb3.1197. Epub 2018 Dec 27.","Brain Behav.  2019","PubMed","citation","PMID:30592179 | PMCID:PMC6346656","pubmed","30592179","create date:2018/12/29 | first author:Waser M",
"Neuropsychological predictors of conversion from mild cognitive impairment to Alzheimer's disease: a feature selection ensemble combining stability and predictability.","/pubmed/30567554","Pereira T, Ferreira FL, Cardoso S, Silva D, de Mendonça A, Guerreiro M, Madeira SC; Alzheimer’s Disease Neuroimaging Initiative..","BMC Med Inform Decis Mak. 2018 Dec 19;18(1):137. doi: 10.1186/s12911-018-0710-y.","BMC Med Inform Decis Mak.  2018","PubMed","citation","PMID:30567554 | PMCID:PMC6299964","pubmed","30567554","create date:2018/12/21 | first author:Pereira T",
"Neuroimaging and Machine Learning for Dementia Diagnosis: Recent Advancements and Future Prospects.","/pubmed/30561351","Ahmed MR, Zhang Y, Feng Z, Lo B, Inan OT, Liao H.","IEEE Rev Biomed Eng. 2019;12:19-33. doi: 10.1109/RBME.2018.2886237. Epub 2018 Dec 11.","IEEE Rev Biomed Eng.  2019","PubMed","citation","PMID:30561351","pubmed","30561351","create date:2018/12/19 | first author:Ahmed MR",
"Uncovering Biologically Coherent Peripheral Signatures of Health and Risk for Alzheimer's Disease in the Aging Brain.","/pubmed/30555318","Riedel BC, Daianu M, Ver Steeg G, Mezher A, Salminen LE, Galstyan A, Thompson PM; Alzheimer’s Disease Neuroimaging Initiative..","Front Aging Neurosci. 2018 Nov 29;10:390. doi: 10.3389/fnagi.2018.00390. eCollection 2018.","Front Aging Neurosci.  2018","PubMed","citation","PMID:30555318 | PMCID:PMC6283260","pubmed","30555318","create date:2018/12/18 | first author:Riedel BC",
"Multilevel diffusion tensor imaging classification technique for characterizing neurobehavioral disorders.","/pubmed/30519999","Dalboni da Rocha JL, Coutinho G, Bramati I, Moll FT, Sitaram R.","Brain Imaging Behav. 2018 Dec 5. doi: 10.1007/s11682-018-0002-2. [Epub ahead of print]","Brain Imaging Behav.  2018","PubMed","citation","PMID:30519999","pubmed","30519999","create date:2018/12/07 | first author:Dalboni da Rocha JL",
"Classification of amyloid PET images using novel features for early diagnosis of Alzheimer's disease and mild cognitive impairment conversion.","/pubmed/30507747","Yan Y, Somer E, Grau V.","Nucl Med Commun. 2019 Mar;40(3):242-248. doi: 10.1097/MNM.0000000000000953.","Nucl Med Commun.  2019","PubMed","citation","PMID:30507747","pubmed","30507747","create date:2018/12/07 | first author:Yan Y",
"Machine learning studies on major brain diseases: 5-year trends of 2014-2018.","/pubmed/30498877","Sakai K, Yamada K.","Jpn J Radiol. 2019 Jan;37(1):34-72. doi: 10.1007/s11604-018-0794-4. Epub 2018 Nov 29. Review.","Jpn J Radiol.  2019","PubMed","citation","PMID:30498877","pubmed","30498877","create date:2018/12/01 | first author:Sakai K",
"Identification of Mild Cognitive Impairment From Speech in Swedish Using Deep Sequential Neural Networks.","/pubmed/30498472","Themistocleous C, Eckerström M, Kokkinakis D.","Front Neurol. 2018 Nov 15;9:975. doi: 10.3389/fneur.2018.00975. eCollection 2018.","Front Neurol.  2018","PubMed","citation","PMID:30498472 | PMCID:PMC6250092","pubmed","30498472","create date:2018/12/01 | first author:Themistocleous C",
"Multiplex Networks for Early Diagnosis of Alzheimer's Disease.","/pubmed/30487745","Amoroso N, La Rocca M, Bruno S, Maggipinto T, Monaco A, Bellotti R, Tangaro S.","Front Aging Neurosci. 2018 Nov 14;10:365. doi: 10.3389/fnagi.2018.00365. eCollection 2018.","Front Aging Neurosci.  2018","PubMed","citation","PMID:30487745 | PMCID:PMC6247675","pubmed","30487745","create date:2018/11/30 | first author:Amoroso N",
"Systematic Analysis and Biomarker Study for Alzheimer's Disease.","/pubmed/30478411","Li X, Wang H, Long J, Pan G, He T, Anichtchik O, Belshaw R, Albani D, Edison P, Green EK, Scott J.","Sci Rep. 2018 Nov 26;8(1):17394. doi: 10.1038/s41598-018-35789-3.","Sci Rep.  2018","PubMed","citation","PMID:30478411 | PMCID:PMC6255913","pubmed","30478411","create date:2018/11/28 | first author:Li X",
"Detection of cognitive impairment using a machine-learning algorithm.","/pubmed/30464478","Youn YC, Choi SH, Shin HW, Kim KW, Jang JW, Jung JJ, Hsiung GR, Kim S.","Neuropsychiatr Dis Treat. 2018 Nov 1;14:2939-2945. doi: 10.2147/NDT.S171950. eCollection 2018.","Neuropsychiatr Dis Treat.  2018","PubMed","citation","PMID:30464478 | PMCID:PMC6219269","pubmed","30464478","create date:2018/11/23 | first author:Youn YC",
"Salient networks: a novel application to study Alzheimer disease.","/pubmed/30458801","Amoroso N, Diacono D, La Rocca M, Bellotti R, Tangaro S; Alzheimer’s Disease Neuroimaging Initiative..","Biomed Eng Online. 2018 Nov 20;17(Suppl 1):162. doi: 10.1186/s12938-018-0566-5.","Biomed Eng Online.  2018","PubMed","citation","PMID:30458801 | PMCID:PMC6245497","pubmed","30458801","create date:2018/11/22 | first author:Amoroso N",
"Decision Supporting Model for One-year Conversion Probability from MCI to AD using CNN and SVM.","/pubmed/30440502","Shen T, Jiang J, Li Y, Wu P, Zuo C, Yan Z.","Conf Proc IEEE Eng Med Biol Soc. 2018 Jul;2018:738-741. doi: 10.1109/EMBC.2018.8512398.","Conf Proc IEEE Eng Med Biol Soc.  2018","PubMed","citation","PMID:30440502","pubmed","30440502","create date:2018/11/18 | first author:Shen T",
"A clinically-translatable machine learning algorithm for the prediction of Alzheimer's disease conversion: further evidence of its accuracy via a transfer learning approach.","/pubmed/30426918","Grassi M, Loewenstein DA, Caldirola D, Schruers K, Duara R, Perna G.","Int Psychogeriatr. 2018 Nov 14:1-9. doi: 10.1017/S1041610218001618. [Epub ahead of print]","Int Psychogeriatr.  2018","PubMed","citation","PMID:30426918","pubmed","30426918","create date:2018/11/15 | first author:Grassi M",
"Decision Tree for Early Detection of Cognitive Impairment by Community Pharmacists.","/pubmed/30420808","Climent MT, Pardo J, Muñoz-Almaraz FJ, Guerrero MD, Moreno L.","Front Pharmacol. 2018 Oct 29;9:1232. doi: 10.3389/fphar.2018.01232. eCollection 2018.","Front Pharmacol.  2018","PubMed","citation","PMID:30420808 | PMCID:PMC6215965","pubmed","30420808","create date:2018/11/14 | first author:Climent MT",
"Instance-Based Representation Using Multiple Kernel Learning for Predicting Conversion to Alzheimer Disease.","/pubmed/30415632","Collazos-Huertas D, Cárdenas-Peña D, Castellanos-Dominguez G.","Int J Neural Syst. 2019 Mar;29(2):1850042. doi: 10.1142/S0129065718500429. Epub 2018 Sep 20.","Int J Neural Syst.  2019","PubMed","citation","PMID:30415632","pubmed","30415632","create date:2018/11/13 | first author:Collazos-Huertas D",
"Cortical atrophy pattern-based subtyping predicts prognosis of amnestic MCI: an individual-level analysis.","/pubmed/30415126","Kim HJ, Park JY, Seo SW, Jung YH, Kim Y, Jang H, Kim ST, Seong JK, Na DL.","Neurobiol Aging. 2019 Feb;74:38-45. doi: 10.1016/j.neurobiolaging.2018.10.010. Epub 2018 Oct 12.","Neurobiol Aging.  2019","PubMed","citation","PMID:30415126","pubmed","30415126","create date:2018/11/12 | first author:Kim HJ",
"Machine Learning for Predicting Cognitive Diseases: Methods, Data Sources and Risk Factors.","/pubmed/30368611","Bratić B, Kurbalija V, Ivanović M, Oder I, Bosnić Z.","J Med Syst. 2018 Oct 27;42(12):243. doi: 10.1007/s10916-018-1071-x. Review.","J Med Syst.  2018","PubMed","citation","PMID:30368611","pubmed","30368611","create date:2018/10/29 | first author:Bratić B",
"Machine learning of neuroimaging for assisted diagnosis of cognitive impairment and dementia: A systematic review.","/pubmed/30364671","Pellegrini E, Ballerini L, Hernandez MDCV, Chappell FM, González-Castro V, Anblagan D, Danso S, Muñoz-Maniega S, Job D, Pernet C, Mair G, MacGillivray TJ, Trucco E, Wardlaw JM.","Alzheimers Dement (Amst). 2018 Aug 11;10:519-535. doi: 10.1016/j.dadm.2018.07.004. eCollection 2018.","Alzheimers Dement (Amst).  2018","PubMed","citation","PMID:30364671 | PMCID:PMC6197752","pubmed","30364671","create date:2018/10/27 | first author:Pellegrini E",
"Alzheimer's disease diagnosis based on multiple cluster dense convolutional networks.","/pubmed/30340094","Li F, Liu M; Alzheimer's Disease Neuroimaging Initiative..","Comput Med Imaging Graph. 2018 Dec;70:101-110. doi: 10.1016/j.compmedimag.2018.09.009. Epub 2018 Oct 2.","Comput Med Imaging Graph.  2018","PubMed","citation","PMID:30340094","pubmed","30340094","create date:2018/10/20 | first author:Li F",
"Topological Pattern Recognition of Severe Alzheimer's Disease via Regularized Supervised Learning of EEG Complexity.","/pubmed/30337850","Fan M, Yang AC, Fuh JL, Chou CA.","Front Neurosci. 2018 Oct 4;12:685. doi: 10.3389/fnins.2018.00685. eCollection 2018.","Front Neurosci.  2018","PubMed","citation","PMID:30337850 | PMCID:PMC6180281","pubmed","30337850","create date:2018/10/20 | first author:Fan M",
"A hybrid data mining model for diagnosis of patients with clinical suspicion of dementia.","/pubmed/30337069","Moreira LB, Namen AA.","Comput Methods Programs Biomed. 2018 Oct;165:139-149. doi: 10.1016/j.cmpb.2018.08.016. Epub 2018 Aug 24.","Comput Methods Programs Biomed.  2018","PubMed","citation","PMID:30337069","pubmed","30337069","create date:2018/10/20 | first author:Moreira LB",
"Alzheimer's Biomarkers From Multiple Modalities Selectively Discriminate Clinical Status: Relative Importance of Salivary Metabolomics Panels, Genetic, Lifestyle, Cognitive, Functional Health and Demographic Risk Markers.","/pubmed/30333744","Sapkota S, Huan T, Tran T, Zheng J, Camicioli R, Li L, Dixon RA.","Front Aging Neurosci. 2018 Oct 2;10:296. doi: 10.3389/fnagi.2018.00296. eCollection 2018.","Front Aging Neurosci.  2018","PubMed","citation","PMID:30333744 | PMCID:PMC6175993","pubmed","30333744","create date:2018/10/20 | first author:Sapkota S",
"Evaluating combinations of diagnostic tests to discriminate different dementia types.","/pubmed/30320203","Bruun M, Rhodius-Meester HFM, Koikkalainen J, Baroni M, Gjerum L, Lemstra AW, Barkhof F, Remes AM, Urhemaa T, Tolonen A, Rueckert D, van Gils M, Frederiksen KS, Waldemar G, Scheltens P, Mecocci P, Soininen H, Lötjönen J, Hasselbalch SG, van der Flier WM.","Alzheimers Dement (Amst). 2018 Aug 17;10:509-518. doi: 10.1016/j.dadm.2018.07.003. eCollection 2018.","Alzheimers Dement (Amst).  2018","PubMed","citation","PMID:30320203 | PMCID:PMC6180596","pubmed","30320203","create date:2018/10/16 | first author:Bruun M",
"Cerebral Small Vessel Disease: A Review Focusing on Pathophysiology, Biomarkers, and Machine Learning Strategies.","/pubmed/30309226","Cuadrado-Godia E, Dwivedi P, Sharma S, Ois Santiago A, Roquer Gonzalez J, Balcells M, Laird J, Turk M, Suri HS, Nicolaides A, Saba L, Khanna NN, Suri JS.","J Stroke. 2018 Sep;20(3):302-320. doi: 10.5853/jos.2017.02922. Epub 2018 Sep 30.","J Stroke.  2018","PubMed","citation","PMID:30309226 | PMCID:PMC6186915","pubmed","30309226","create date:2018/10/13 | first author:Cuadrado-Godia E",
"Deep learning based low-cost high-accuracy diagnostic framework for dementia using comprehensive neuropsychological assessment profiles.","/pubmed/30285646","Choi HS, Choe JY, Kim H, Han JW, Chi YK, Kim K, Hong J, Kim T, Kim TH, Yoon S, Kim KW.","BMC Geriatr. 2018 Oct 3;18(1):234. doi: 10.1186/s12877-018-0915-z.","BMC Geriatr.  2018","PubMed","citation","PMID:30285646 | PMCID:PMC6171238","pubmed","30285646","create date:2018/10/05 | first author:Choi HS",
"Learning to Detect Cognitive Impairment through Digital Games and Machine Learning Techniques.","/pubmed/30248709","Valladares-Rodriguez S, Pérez-Rodriguez R, Fernandez-Iglesias JM, Anido-Rifón LE, Facal D, Rivas-Costa C.","Methods Inf Med. 2018 Sep;57(4):197-207. doi: 10.3414/ME17-02-0011. Epub 2018 Sep 24.","Methods Inf Med.  2018","PubMed","citation","PMID:30248709","pubmed","30248709","create date:2018/09/25 | first author:Valladares-Rodriguez S",
"An EEG nicotinic acetylcholine index to assess the efficacy of pro-cognitive compounds.","/pubmed/30248622","Simpraga S, Mansvelder HD, Groeneveld GJ, Prins S, Hart EP, Poil SS, Linkenkaer-Hansen K.","Clin Neurophysiol. 2018 Nov;129(11):2325-2332. doi: 10.1016/j.clinph.2018.08.014. Epub 2018 Sep 11.","Clin Neurophysiol.  2018","PubMed","citation","PMID:30248622","pubmed","30248622","create date:2018/09/25 | first author:Simpraga S",
"Predicting conversion from MCI to AD by integrating rs-fMRI and structural MRI.","/pubmed/30245275","Hojjati SH, Ebrahimzadeh A, Khazaee A, Babajani-Feremi A; Alzheimer's Disease Neuroimaging Initiative..","Comput Biol Med. 2018 Nov 1;102:30-39. doi: 10.1016/j.compbiomed.2018.09.004. Epub 2018 Sep 15.","Comput Biol Med.  2018","PubMed","citation","PMID:30245275","pubmed","30245275","create date:2018/09/25 | first author:Hojjati SH",
"A Comprehensive Review of Magnetoencephalography (MEG) Studies for Brain Functionality in Healthy Aging and Alzheimer's Disease (AD).","/pubmed/30190674","Mandal PK, Banerjee A, Tripathi M, Sharma A.","Front Comput Neurosci. 2018 Aug 23;12:60. doi: 10.3389/fncom.2018.00060. eCollection 2018. Review.","Front Comput Neurosci.  2018","PubMed","citation","PMID:30190674 | PMCID:PMC6115612","pubmed","30190674","create date:2018/09/08 | first author:Mandal PK",
"Machine learning identified an Alzheimer's disease-related FDG-PET pattern which is also expressed in Lewy body dementia and Parkinson's disease dementia.","/pubmed/30185806","Katako A, Shelton P, Goertzen AL, Levin D, Bybel B, Aljuaid M, Yoon HJ, Kang DY, Kim SM, Lee CS, Ko JH.","Sci Rep. 2018 Sep 5;8(1):13236. doi: 10.1038/s41598-018-31653-6.","Sci Rep.  2018","PubMed","citation","PMID:30185806 | PMCID:PMC6125295","pubmed","30185806","create date:2018/09/07 | first author:Katako A",
"Using high-dimensional machine learning methods to estimate an anatomical risk factor for Alzheimer's disease across imaging databases.","/pubmed/30130645","Casanova R, Barnard RT, Gaussoin SA, Saldana S, Hayden KM, Manson JE, Wallace RB, Rapp SR, Resnick SM, Espeland MA, Chen JC; WHIMS-MRI Study Group and the Alzheimer's disease Neuroimaging Initiative..","Neuroimage. 2018 Dec;183:401-411. doi: 10.1016/j.neuroimage.2018.08.040. Epub 2018 Aug 18.","Neuroimage.  2018","PubMed","citation","PMID:30130645 | PMCID:PMC6457113","pubmed","30130645","create date:2018/08/22 | first author:Casanova R",
"Wave2Vec: Vectorizing Electroencephalography Bio-Signal for Prediction of Brain Disease.","/pubmed/30111710","Kim S, Kim J, Chun HW.","Int J Environ Res Public Health. 2018 Aug 15;15(8). pii: E1750. doi: 10.3390/ijerph15081750.","Int J Environ Res Public Health.  2018","PubMed","citation","PMID:30111710 | PMCID:PMC6121271","pubmed","30111710","create date:2018/08/17 | first author:Kim S",
"Clustering Analysis of FDG-PET Imaging in Primary Progressive Aphasia.","/pubmed/30108500","Matias-Guiu JA, Díaz-Álvarez J, Ayala JL, Risco-Martín JL, Moreno-Ramos T, Pytel V, Matias-Guiu J, Carreras JL, Cabrera-Martín MN.","Front Aging Neurosci. 2018 Jul 31;10:230. doi: 10.3389/fnagi.2018.00230. eCollection 2018.","Front Aging Neurosci.  2018","PubMed","citation","PMID:30108500 | PMCID:PMC6079194","pubmed","30108500","create date:2018/08/16 | first author:Matias-Guiu JA",
"Corpus Callosum Radiomics-Based Classification Model in Alzheimer's Disease: A Case-Control Study.","/pubmed/30093881","Feng Q, Chen Y, Liao Z, Jiang H, Mao D, Wang M, Yu E, Ding Z.","Front Neurol. 2018 Jul 26;9:618. doi: 10.3389/fneur.2018.00618. eCollection 2018.","Front Neurol.  2018","PubMed","citation","PMID:30093881 | PMCID:PMC6070743","pubmed","30093881","create date:2018/08/11 | first author:Feng Q",
