PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	EY	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Salvatore, Christian; Battista, Petronilla; Castiglioni, Isabella				Salvatore, Christian/J-9828-2016; Battiasta, Petronilla/G-2538-2019	Salvatore, Christian/0000-0001-9312-4675; Battiasta, Petronilla/0000-0002-3120-1214			Frontiers for the Early Diagnosis of AD by Means of MRI Brain Imaging and Support Vector Machines								CURRENT ALZHEIMER RESEARCH				13	5			509	533		10.2174/1567205013666151116141705					2016	2016										24	1	0	18	0	25			1567-2050	1875-5828		WOS:000373458700006	26567735	
J	Clark, David Glenn; McLaughlin, Paula M; Woo, Ellen; Hwang, Kristy; Hurtz, Sona; Ramirez, Leslie; Eastman, Jennifer; Dukes, Reshil-Marie; Kapur, Puneet; DeRamus, Thomas P; Apostolova, Liana G					McLaughlin, Paula/0000-0001-7173-8449; DUKES, RESHIL-MARIE/0000-0002-6358-7174			Novel verbal fluency scores and structural brain imaging for prediction of cognitive outcome in mild cognitive impairment.								Alzheimer's & dementia (Amsterdam, Netherlands)				2				113	22		10.1016/j.dadm.2016.02.001					2016	2016										10	0	0	4	0	10			2352-8729			MEDLINE:27239542	27239542	
J	Huang, Xin-Lin; Wu, Jun; Li, Wenfeng; Zhang, Zhifeng; Zhu, Fusheng; Wu, Minghao								Historical Spectrum Sensing Data Mining for Cognitive Radio Enabled Vehicular Ad-Hoc Networks								IEEE TRANSACTIONS ON DEPENDABLE AND SECURE COMPUTING				13	1			59	70		10.1109/TDSC.2015.2453967					JAN-FEB 2016	2016										16	0	0	0	0	16			1545-5971	1941-0018		WOS:000372744600007		
J	Zhang, Yudong; Wang, Shuihua; Phillips, Preetha; Yang, Jiquan; Yuan, Ti-Fei				Zhang, Yudong/I-7633-2013; Wang, Shuihua/G-7326-2016	Zhang, Yudong/0000-0002-4870-1493; Wang, Shuihua/0000-0003-4713-2791			Three-Dimensional Eigenbrain for the Detection of Subjects and Brain Regions Related with Alzheimer's Disease								JOURNAL OF ALZHEIMERS DISEASE				50	4			1163	1179		10.3233/JAD-150988					2016	2016										38	1	0	16	1	38			1387-2877	1875-8908		WOS:000371053400020	26836190	
J	Wang, Shuihua; Zhang, Yudong; Liu, Ge; Phillips, Preetha; Yuan, Ti-Fei				Zhang, Yudong/I-7633-2013; Wang, Shuihua/G-7326-2016	Zhang, Yudong/0000-0002-4870-1493; Wang, Shuihua/0000-0003-4713-2791			Detection of Alzheimer's Disease by Three-Dimensional Displacement Field Estimation in Structural Magnetic Resonance Imaging								JOURNAL OF ALZHEIMERS DISEASE				50	1			233	248		10.3233/JAD-150848					2016	2016										49	1	0	17	0	50			1387-2877	1875-8908		WOS:000368085200022	26682696	
J	Rhodius-Meester, Hanneke F. M.; Koikkalainen, Juha; Mattila, Jussi; Teunissen, Charlotte E.; Barkhof, Frederik; Lemstra, Afina W.; Scheltens, Philip; Lotjonen, Jyrki; van der Flier, Wiesje M.					van der Flier, Wiesje/0000-0001-8766-6224			Integrating Biomarkers for Underlying Alzheimer's Disease in Mild Cognitive Impairment in Daily Practice: Comparison of a Clinical Decision Support System with Individual Biomarkers								JOURNAL OF ALZHEIMERS DISEASE				50	1			261	270		10.3233/JAD-150548					2016	2016										7	0	0	5	0	7			1387-2877	1875-8908		WOS:000368085200024	26577521	
J	Guerrero, J. M.; Martinez-Tomas, R.; Rincon, M.; Peraita, H.				Martinez-Tomas, Rafael/G-4403-2014; rincon, mariano/N-2420-2014	Martinez-Tomas, Rafael/0000-0003-4706-7168; rincon, mariano/0000-0002-0138-4662			Diagnosis of Cognitive Impairment Compatible with Early Diagnosis of Alzheimer's Disease								METHODS OF INFORMATION IN MEDICINE				55	1			42	49		10.3414/ME14-01-0071					2016	2016										4	0	0	1	0	4			0026-1270	2511-705X		WOS:000367827600006	25925692	
J	Fraser, Kathleen C.; Meltzer, Jed A.; Rudzicz, Frank					Meltzer, Jed/0000-0002-4301-1901			Linguistic Features Identify Alzheimer's Disease in Narrative Speech								JOURNAL OF ALZHEIMERS DISEASE				49	2			407	422		10.3233/JAD-150520					2016	2016										54	1	0	11	2	55			1387-2877	1875-8908		WOS:000365710600013	26484921	
B	Ai, Qingyao; Yang, Liu; Guo, Jiafeng; Croft, W. Bruce			Assoc Comp Machinery					Improving Language Estimation with the Paragraph Vector Model for Ad-hoc Retrieval								SIGIR'16: PROCEEDINGS OF THE 39TH INTERNATIONAL ACM SIGIR CONFERENCE ON RESEARCH AND DEVELOPMENT IN INFORMATION RETRIEVAL								869	872		10.1145/2911451.2914688					2016	2016						39th International ACM SIGIR conference on Research and Development in Information Retrieval39th International ACM SIGIR conference on Research and Development in Information Retrieval	JUL 17-21, 2016JUL 17-21, 2016	ACM SIGIRACM SIGIR	Pisa, ITALYPisa, ITALY	9	0	0	0	0	9					978-1-4503-4069-4	WOS:000455100800127		
J	Besga, Ariadna; Gonzalez, Itxaso; Echeburua, Enrique; Savio, Alexandre; Ayerdi, Borja; Chyzhyk, Darya; Madrigal, Jose L. M.; Leza, Juan C.; Grana, Manuel; Gonzalez-Pinto, Ana Maria				Echeburua, Enrique/F-9033-2010; Madrigal, Jose/K-1598-2014; Grana Romay, Manuel/L-1341-2014; Savio, Alexandre/L-8369-2014	Echeburua, Enrique/0000-0001-7654-0781; Madrigal, Jose/0000-0002-1409-9561; Grana Romay, Manuel/0000-0001-7373-4097; Savio, Alexandre/0000-0002-6608-6885; LEZA, JUAN CARLOS/0000-0002-9901-0094			Discrimination between Alzheimer's Disease and Late Onset Bipolar Disorder Using Multivariate Analysis								FRONTIERS IN AGING NEUROSCIENCE				7						231	10.3389/fnagi.2015.00231					DEC 14 2015	2015										10	0	0	8	0	10			1663-4365			WOS:000366594600002	26696883	
J	Byeon, Haewon								A Prediction Model for Mild Cognitive Impairment Using Random Forests								INTERNATIONAL JOURNAL OF ADVANCED COMPUTER SCIENCE AND APPLICATIONS				6	12			8	12							DEC 2015	2015										7	0	0	0	0	7			2158-107X	2156-5570		WOS:000369852000003		
J	Khalifa, Abdulrahman; Meystre, Stephane								Adapting existing natural language processing resources for cardiovascular risk factors identification in clinical notes.								Journal of biomedical informatics				58 Suppl				S128	32		10.1016/j.jbi.2015.08.002					2015-Dec	2015										12	0	0	7	0	12				1532-0480		MEDLINE:26318122	26318122	
J	Stubbs, Amber; Kotfila, Christopher; Uzuner, Ozlem								Automated systems for the de-identification of longitudinal clinical narratives: Overview of 2014 i2b2/UTHealth shared task Track 1.								Journal of biomedical informatics				58 Suppl				S11	9		10.1016/j.jbi.2015.06.007					2015-Dec	2015										17	0	0	4	0	17				1532-0480		MEDLINE:26225918	26225918	
J	Torii, Manabu; Fan, Jung-Wei; Yang, Wei-Li; Lee, Theodore; Wiley, Matthew T; Zisook, Daniel S; Huang, Yang					Torii, Manabu/0000-0002-4825-0696			Risk factor detection for heart disease by applying text analytics in electronic medical records.								Journal of biomedical informatics				58 Suppl				S164	70		10.1016/j.jbi.2015.08.011					2015-Dec	2015										5	0	0	1	0	5				1532-0480		MEDLINE:26279500	26279500	
J	Chen, Tao; Cullen, Richard M; Godwin, Marshall								Hidden Markov model using Dirichlet process for de-identification.								Journal of biomedical informatics				58 Suppl				S60	6		10.1016/j.jbi.2015.09.004					2015-Dec	2015										1	0	0	1	0	1				1532-0480		MEDLINE:26407642	26407642	
J	He, Bin; Guan, Yi; Cheng, Jianyi; Cen, Keting; Hua, Wenlan								CRFs based de-identification of medical records.								Journal of biomedical informatics				58 Suppl				S39	46		10.1016/j.jbi.2015.08.012					2015-Dec	2015										5	0	0	3	0	5				1532-0480		MEDLINE:26315662	26315662	
J	Liu, Zengjian; Chen, Yangxin; Tang, Buzhou; Wang, Xiaolong; Chen, Qingcai; Li, Haodi; Wang, Jingfeng; Deng, Qiwen; Zhu, Suisong								Automatic de-identification of electronic medical records using token-level and character-level conditional random fields.								Journal of biomedical informatics				58 Suppl				S47	52		10.1016/j.jbi.2015.06.009					2015-Dec	2015										7	0	0	3	1	8				1532-0480		MEDLINE:26122526	26122526	
J	Yang, Hui; Garibaldi, Jonathan M					Yang, Hui/0000-0002-3372-4801; Garibaldi, Jonathan/0000-0002-9690-7074			Automatic detection of protected health information from clinic narratives.								Journal of biomedical informatics				58 Suppl				S30	8		10.1016/j.jbi.2015.06.015					2015-Dec	2015										9	0	0	0	0	9				1532-0480		MEDLINE:26231070	26231070	
J	Cormack, James; Nath, Chinmoy; Milward, David; Raja, Kalpana; Jonnalagadda, Siddhartha R								Agile text mining for the 2014 i2b2/UTHealth Cardiac risk factors challenge.								Journal of biomedical informatics				58 Suppl				S120	7		10.1016/j.jbi.2015.06.030					2015-Dec	2015										8	1	0	5	0	9				1532-0480		MEDLINE:26209007	26209007	
J	Karystianis, George; Dehghan, Azad; Kovacevic, Aleksandar; Keane, John A; Nenadic, Goran					Nenadic, Goran/0000-0003-0795-5363; Dehghan, Azad/0000-0001-7000-2835; Karystianis, George/0000-0003-3491-361X; Kovacevic, Aleksandar/0000-0002-8342-9333			Using local lexicalized rules to identify heart disease risk factors in clinical notes.								Journal of biomedical informatics				58 Suppl				S183	8		10.1016/j.jbi.2015.06.013					2015-Dec	2015										5	0	0	2	0	5				1532-0480		MEDLINE:26133479	26133479	
J	Carrell, David S.; Cronkite, David; Palmer, Roy E.; Saunders, Kathleen; Gross, David E.; Masters, Elizabeth T.; Hylan, Timothy R.; Von Korff, Michael								Using natural language processing to identify problem usage of prescription opioids								INTERNATIONAL JOURNAL OF MEDICAL INFORMATICS				84	12			1057	1064		10.1016/j.ijmedinf.2015.09.002					DEC 2015	2015										19	0	0	4	0	19			1386-5056	1872-8243		WOS:000363858100007	26456569	
J	Chen, Tianle; Zeng, Donglin; Wang, Yuanjia								Multiple Kernel Learning with Random Effects for Predicting Longitudinal Outcomes and Data Integration								BIOMETRICS				71	4			918	928		10.1111/biom.12343					DEC 2015	2015										3	0	0	0	0	3			0006-341X	1541-0420		WOS:000368187300008	26177419	
J	Prud'hommeaux, Emily; Roark, Brian								Graph-Based Word Alignment for Clinical Language Evaluation								COMPUTATIONAL LINGUISTICS				41	4			549	578		10.1162/COLI_a_00232					DEC 2015	2015										3	0	0	1	1	3			0891-2017	1530-9312		WOS:000367813400001		
J	Wang, Shuihua; Zhang, Yudong; Yang, Xiaojun; Sun, Ping; Dong, Zhengchao; Liu, Aijun; Yuan, Ti-Fei				Wang, Shuihua/G-7326-2016; Yang, Xiao-Jun/E-8311-2011; Zhang, Yudong/I-7633-2013	Wang, Shuihua/0000-0003-4713-2791; Yang, Xiao-Jun/0000-0003-0009-4599; Zhang, Yudong/0000-0002-4870-1493			Pathological Brain Detection by a Novel Image Feature-Fractional Fourier Entropy								ENTROPY				17	12			8278	8296		10.3390/e17127877					DEC 2015	2015										49	0	0	5	0	49			1099-4300			WOS:000367443600028		
J	Cheng, Bo; Liu, Mingxia; Suk, Heung-Il; Shen, Dinggang; Zhang, Daoqiang		Alzheimers Dis Neuroimaging Initia		liu, mingxia/E-7824-2017; Preda, Adrian/K-8889-2013	Preda, Adrian/0000-0003-3373-2438			Multimodal manifold-regularized transfer learning for MCI conversion prediction								BRAIN IMAGING AND BEHAVIOR				9	4			913	926		10.1007/s11682-015-9356-x					DEC 2015	2015										20	3	0	9	0	23			1931-7557	1931-7565		WOS:000365755500025	25702248	
J	Xu, Lele; Wu, Xia; Chen, Kewei; Yao, Li								Multi-modality sparse representation-based classification for Alzheimer's disease and mild cognitive impairment								COMPUTER METHODS AND PROGRAMS IN BIOMEDICINE				122	2			182	190		10.1016/j.cmpb.2015.08.004					NOV 2015	2015										30	1	0	21	0	31			0169-2607	1872-7565		WOS:000363824700008	26298855	
J	Wang, Beichen; Chen, Xiaodong; Mamitsuka, Hiroshi; Zhu, Shanfeng				Mamitsuka, Hiroshi/R-1110-2016	Mamitsuka, Hiroshi/0000-0002-6607-5617			BMExpert: Mining MEDLINE for Finding Experts in Biomedical Domains Based on Language Model								IEEE-ACM TRANSACTIONS ON COMPUTATIONAL BIOLOGY AND BIOINFORMATICS				12	6			1286	1294		10.1109/TCBB.2015.2430338					NOV-DEC 2015	2015						13th Asia Pacific Bioinformatics Conference (APBC) - Systems Biology13th Asia Pacific Bioinformatics Conference (APBC) - Systems Biology	JAN 21-23, 2015JAN 21-23, 2015		Hsinchu, TAIWANHsinchu, TAIWAN	1	0	0	0	0	1			1545-5963	1557-9964		WOS:000368292400009	26671801	
J	Cook, Diane J.; Schmitter-Edgecombe, Maureen; Dawadi, Prafulla								Analyzing Activity Behavior and Movement in a Naturalistic Environment Using Smart Home Techniques								IEEE JOURNAL OF BIOMEDICAL AND HEALTH INFORMATICS				19	6			1882	1892		10.1109/JBHI.2015.2461659					NOV 2015	2015										30	0	0	4	0	30			2168-2194			WOS:000364857000013	26259225	
J	Khazaee, Ali; Ebrahimzadeh, Ata; Babajani-Feremi, Abbas								Identifying patients with Alzheimer's disease using resting-state fMRI and graph theory								CLINICAL NEUROPHYSIOLOGY				126	11			2132	2141		10.1016/j.clinph.2015.02.060					NOV 2015	2015										55	2	0	32	1	57			1388-2457	1872-8952		WOS:000363479000012	25907414	
J	Carreiro, Andre V.; Mendonca, Alexandre; de Carvalho, Mamede; Madeira, Sara C.				Madeira, Sara/C-5494-2008	Madeira, Sara/0000-0002-1459-8096			Integrative biomarker discovery in neurodegenerative diseases								WILEY INTERDISCIPLINARY REVIEWS-SYSTEMS BIOLOGY AND MEDICINE				7	6			357	379		10.1002/wsbm.1310					NOV-DEC 2015	2015										5	0	0	3	0	5			1939-5094	1939-005X		WOS:000362732500002	26136395	
J	Weakley, Alyssa; Williams, Jennifer A.; Schmitter-Edgecombe, Maureen; Cook, Diane J.								Neuropsychological test selection for cognitive impairment classification: A machine learning approach								JOURNAL OF CLINICAL AND EXPERIMENTAL NEUROPSYCHOLOGY				37	9			899	916		10.1080/13803395.2015.1067290					OCT 21 2015	2015										5	0	0	3	0	6			1380-3395	1744-411X		WOS:000360647100001	26332171	
J	Dimitriadis, Stavros I.; Laskaris, Nikolaos A.; Bitzidou, Malamati P.; Tarnanas, Ioannis; Tsolaki, Magda N.					Bitzidou, Malamati/0000-0002-3726-9543			A novel biomarker of amnestic MCI based on dynamic cross-frequency coupling patterns during cognitive brain responses								FRONTIERS IN NEUROSCIENCE				9						350	10.3389/fnins.2015.00350					OCT 20 2015	2015										31	1	0	21	0	32			1662-453X			WOS:000366707500001	26539070	
J	Tang, Xiaoqing; Duan, Wenjie; Wang, Ying; Guo, Pengfei				Duan, Wenjie/C-8722-2016	Duan, Wenjie/0000-0002-1251-3685			The development of Negative Self-Beliefs Inventory (NSBI): cultural adaptation and psychometric validation								PEERJ				3						e1312	10.7717/peerj.1312					OCT 20 2015	2015										2	0	0	1	0	2			2167-8359			WOS:000364330400003	26500821	
J	Lugli, Giovanni; Cohen, Aaron M.; Bennett, David A.; Shah, Raj C.; Fields, Christopher J.; Hernandez, Alvaro G.; Smalheiser, Neil R.					Shah, Raj/0000-0001-9706-9730; Fields, Christopher/0000-0002-7749-5844			Plasma Exosomal miRNAs in Persons with and without Alzheimer Disease: Altered Expression and Prospects for Biomarkers								PLOS ONE				10	10					e0139233	10.1371/journal.pone.0139233					OCT 1 2015	2015										70	5	0	65	0	75			1932-6203			WOS:000362177100039	26426747	
J	Long, Jeffrey D.; Paulsen, Jane S.		PREDICT HD Investigators; Coordinators Huntington Study Grp		; Johnson, Hans/M-7039-2015	O'Leary, Daniel/0000-0003-1959-6521; Goh, Anita/0000-0003-0159-5926; Magnotta, Vincent/0000-0001-8639-5354; Long, Jeffrey/0000-0001-7181-9652; Bek, Judith/0000-0003-3926-1788; Paulsen, Jane/0000-0002-0983-228X; Johnson, Hans/0000-0001-9513-2660			Multivariate prediction of motor diagnosis in Huntington's disease: 12 years of PREDICT-HD								MOVEMENT DISORDERS				30	12			1664	1672		10.1002/mds.26364					OCT 2015	2015										17	0	0	4	0	17			0885-3185	1531-8257		WOS:000363342800013	26340420	
J	Olazaran, Javier; Valenti, Meritxell; Frades, Belen; Ascension Zea-Sevilla, Maria; Avila-Villanueva, Marina; Angel Fernandez-Blazquez, Miguel; Calero, Miguel; Luis Dobato, Jose; Antonio Hernandez-Tamames, Juan; Leon-Salas, Beatriz; Agueera-Ortiz, Luis; Lopez-Alvarez, Jorge; Larranaga, Pedro; Bielza, Concha; Alvarez-Linera, Juan; Martinez-Martin, Pablo				Bielza, Concha/F-9277-2013; Calero, Miguel/H-5691-2015; Leon-Salas, Beatriz/J-8357-2018; Hernandez-Tamames, Juan/N-5319-2014; Larranaga, Pedro/F-9293-2013	Bielza, Concha/0000-0001-7109-2668; Calero, Miguel/0000-0001-5366-3324; Hernandez-Tamames, Juan/0000-0003-0027-9518; Larranaga, Pedro/0000-0003-0652-9872; Valenti Soler, Meritxell/0000-0002-2918-868X; Leon-Salas, Beatriz/0000-0001-5803-1756; Fernandez-Blazquez, Miguel Angel/0000-0002-9820-8699			The Vallecas Project: a cohort to identify early markers and mechanisms of Alzheimer's disease								FRONTIERS IN AGING NEUROSCIENCE				7						181	10.3389/fnagi.2015.00181					SEP 30 2015	2015										6	0	0	6	0	6			1663-4365			WOS:000362362400001	26483681	
J	Zhang, Yudong; Wang, Shuihua				Wang, Shuihua/G-7326-2016; Zhang, Yudong/I-7633-2013	Wang, Shuihua/0000-0003-4713-2791; Zhang, Yudong/0000-0002-4870-1493			Detection of Alzheimer's disease by displacement field and machine learning								PEERJ				3						e1251	10.7717/peerj.1251					SEP 17 2015	2015										38	0	0	13	0	38			2167-8359			WOS:000364325400006	26401461	
J	Salvatore, Christian; Cerasa, Antonio; Battista, Petronilla; Gilardi, Maria C.; Quattrone, Aldo; Castiglioni, Isabella		Alzheimer's Dis Neuroimaging		Battiasta, Petronilla/G-2538-2019; Salvatore, Christian/J-9828-2016; cerasa, antonio/E-8614-2011; QUATTRONE, Aldo/A-6734-2016	Battiasta, Petronilla/0000-0002-3120-1214; Salvatore, Christian/0000-0001-9312-4675; cerasa, antonio/0000-0002-8022-4770; QUATTRONE, Aldo/0000-0003-2001-957X; Castiglioni, Isabella/0000-0001-7191-5417			Magnetic resonance imaging biomarkers for the early diagnosis of Alzheimer's disease: a machine learning approach								FRONTIERS IN NEUROSCIENCE				9						307	10.3389/fnins.2015.00307					SEP 1 2015	2015										36	0	0	22	0	36			1662-453X			WOS:000362204900002	26388719	
J	Beheshti, I.; Demirel, H.		Alzheimer's Dis Neuroimaging		Demirel, Hasan/H-5769-2013				Probability distribution function-based classification of structural MRI for the detection of Alzheimer's disease								COMPUTERS IN BIOLOGY AND MEDICINE				64				208	216		10.1016/j.compbiomed.2015.07.006					SEP 1 2015	2015										29	0	0	15	0	29			0010-4825	1879-0534		WOS:000361412500020	26226415	
J	Li, Feng; Tran, Loc; Thung, Kim-Han; Ji, Shuiwang; Shen, Dinggang; Li, Jiang				Thung, KimHan/B-3950-2009	Thung, KimHan/0000-0003-1379-2185			A Robust Deep Model for Improved Classification of AD/MCI Patients								IEEE JOURNAL OF BIOMEDICAL AND HEALTH INFORMATICS				19	5			1610	1616		10.1109/JBHI.2015.2429556					SEP 2015	2015										40	4	0	14	0	43			2168-2194			WOS:000360791200010	25955998	
